"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg_TPM","FoldChange"
"CCM2L","Ccm2l",4.858473,2.859713,2.566368,104,105,35,3.42818466666667,0.686911,1.49857,1.439131,29,47,39,6.823312,0.566024295933317
"CCN1","Ccn1",1.342872,1.359884,1.90174,56,85,25,1.534832,12.702159,6.791671,8.381834,408,148,192,29.6494766666667,0.0827039243628195
"CCN2","Ccn2",5.760386,3.776121,5.543931,243,258,86,5.02681266666667,28.972069,17.94322,24.584659,1124,528,641,38.5982696666667,0.152198889431271
"CCN3","Ccn3",0.764407,0.693863,1.042294,40,58,17,0.833521333333333,4.293949,6.557068,8.878812,186,217,264,0,1.83352133333333
"CCN4","Ccn4",0.321172,0.138924,0.590402,36,23,10,0.350166,0.743528,0.139793,0.014906,37,6,1,35.006345,0.0374980020882431
"CCN5","Ccn5",0,0.113139,0,0,6,0,0.037713,0.198671,0.231554,0.289812,8,7,8,252.852728333333,0.00408785442966515
"CCN6","Ccn6",0.218464,0.346827,0.115516,6,14,1,0.226935666666667,0.074002,0.388354,0.32046,1,4,3,80.366629,0.0150791016138406
"CCNA1","Ccna1",0,0.102042,0,0,2,0,0.034014,8.439989,9.63925,10.078341,244,213,197,0.0210016666666667,1.01274467393948
"CCNA2","Ccna2",0.786399,0.898638,0.741977,30,40,13,0.809004666666667,5.961905,1.694531,4.276773,283,62,141,4.03026933333333,0.359623818684858
"CCNB1","Ccnb1",0.1504,0.365296,0.493321,8,17,5,0.336339,36.500849,17.561621,33.722685,492,193,314,3.12674766666667,0.323823773087491
"CCNB1IP1","Ccnb1ip1",0,0,0.112019,0,0,1,0.0373396666666667,64.203703,29.231284,43.337182,782,273,328,60.1409926666667,0.0169663530378402
"CCNB2","Ccnb2",0.198744,0.311778,0,6,14,0,0.170174,10.213706,2.655336,6.162087,216,45,104,46.8670073333333,0.0244463580489002
"CCNB3","Ccnb3",0.01024,0.006881,0,1,1,0,0.005707,0.980604,1.186224,1.221503,28,21,25,2.97610933333333,0.25293746114292
"CCNC","Ccnc",16.914493,17.201322,13.935264,410,615,136,16.0170263333333,146.444165,127.913333,153.062202,682,533,556,45.4093636666667,0.366672261562503
"CCND1","Ccnd1",12.052882,10.199336,9.206152,709,1002,226,10.4861233333333,108.54544,92.460028,118.108738,4818,3144,3886,4.637258,2.03753728024038
"CCND2","Ccnd2",44.232309,15.169497,5.042476,565,694,143,21.4814273333333,37.138048,25.380322,32.959882,4001,2140,2489,3.18577133333333,5.37091626441769
"CCND3","Ccnd3",37.242426,32.091058,44.652187,394,526,166,37.9952236666667,51.989459,25.878216,20.019742,626,225,254,13.0447966666667,2.77648901526758
"CCNDBP1","Ccndbp1",50.631101,48.0622,64.913448,833,1157,261,54.535583,31.866535,43.031708,47.702611,692,812,793,22.769846,2.33638800184065
"CCNE1","Ccne1",9.045012,6.02452,8.919154,221,272,83,7.99622866666667,7.412834,4.483951,8.448109,151,73,130,5.41642866666667,1.40206166607946
"CCNE2","Ccne2",2.122759,1.484732,0.80072,65,101,10,1.46940366666667,4.446038,2.042829,2.760323,98,29,61,0.626951666666667,1.51781009679657
"CCNF","Ccnf",0.438131,0.612727,0.310059,25,37,8,0.453639,3.307204,3.229643,4.143457,259,193,215,8.64640566666667,0.150692294128068
"CCNG1","Ccng1",15.667385,14.901161,12.908987,800,1218,213,14.492511,111.425172,52.299732,73.115049,1873,662,913,132.208882,0.116302387403867
"CCNG2","Ccng2",8.988697,6.175908,5.252092,410,480,86,6.80556566666667,37.407546,22.937567,23.496141,1584,668,727,22.4629123333333,0.332676760487974
"CCNH","Ccnh",83.480693,64.271246,67.459822,516,733,147,71.7372536666667,36.825173,45.088655,48.226946,379,335,329,53.858643,1.3259032613451
"CCNI","Ccni",118.038185,90.774218,100.70337,2872,4071,937,103.171924333333,482.505889,399.655009,516.972516,7970,5313,6366,30.823158,3.27346281388332
"CCNJ","Ccnj",1.639946,1.661695,1.206679,134,206,31,1.50277333333333,4.409254,5.583118,6.239926,313,304,309,134.792056666667,0.0184309258933825
"CCNJL","Ccnjl",0.672393,0.543129,0.39332,38,46,7,0.536280666666667,4.238601,4.945292,5.836059,270,240,242,0.0846023333333333,1.41644602768388
"CCNK","Ccnk",10.103813,10.72691,12.741847,445,627,127,11.1908566666667,91.188336,40.19334,59.922801,594,362,358,4.86352266666667,2.07910114102057
"CCNL1","Ccnl1",21.833149,22.21252,13.680377,567,823,137,19.2420153333333,62.058805,43.166967,47.708312,1124,553,635,7.003943,2.52900543311382
"CCNL2","Ccnl2",23.797816,20.298666,18.400144,1270,1575,311,20.8322086666667,143.660061,100.405837,113.076284,3731,2103,2226,16.2225693333333,1.26765108295495
"CCNO","Ccno",0.407626,0.08598,0.650222,8,5,4,0.381276,0.092436,0.061489,0.141913,2,1,2,25.323344,0.0524734243491252
"CCNQ","Ccnq",5.611987,4.774278,7.425599,129,165,54,5.937288,15.403487,13.074948,21.247971,159,120,148,0,6.937288
