"Hs_symbol","Spinal_cord","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"RAB14",33.11361,33.11361,46.57226,46.57226,0.717090379981947
"RAB15",15.23784,15.23784,92.20367,92.20367,0.174218890736813
"RAB17",1.1793,1.1793,0.72132,0.72132,1.26606325378198
"RAB18",58.74794,58.74794,106.49419,106.49419,0.555824831090871
"RAB19",0.40345,0.40345,0.01045,0.01045,1.38893562274234
"RAB1A",84.10297,84.10297,195.59304,195.59304,0.43288902801442
"RAB1B",88.32364,88.32364,123.63863,123.63863,0.716660958163613
"RAB1C",0,0,0,0,1
"RAB20",10.11718,10.11718,18.64981,18.64981,0.565765266941512
"RAB21",40.03426,40.03426,21.00195,21.00195,1.86502832703465
"RAB22A",7.91375,7.91375,8.2586,8.2586,0.962753548052621
"RAB23",8.5034,8.5034,5.56149,5.56149,1.44836005236615
"RAB24",30.50672,30.50672,50.46112,50.46112,0.612243184757736
"RAB25",2.91722,2.91722,0.09409,0.09409,3.58034530980084
"RAB26",24.08262,24.08262,16.45449,16.45449,1.43702966972968
"RAB27A",11.51373,11.51373,4.54746,4.54746,2.25575849127348
"RAB27B",1.83102,1.83102,2.64484,2.64484,0.776719965759814
"RAB28",412.38387,412.38387,31.77995,31.77995,12.6108755504508
"RAB2A",261.55714,261.55714,87.48894,87.48894,2.96711815058469
"RAB2B",18.34128,18.34128,21.72327,21.72327,0.851166227395969
"RAB30",21.19643,21.19643,3.21981,3.21981,5.26005436263718
"RAB31",213.32982,213.32982,78.42539,78.42539,2.69850510019529
"RAB32",17.06887,17.06887,28.9992,28.9992,0.602311728312755
"RAB33A",16.75853,16.75853,43.20609,43.20609,0.401721346538452
"RAB33B",8.93788,8.93788,3.69024,3.69024,2.11884253257829
"RAB34",37.89289,37.89289,97.55608,97.55608,0.394626998151712
"RAB35",19.83092,19.83092,31.41406,31.41406,0.642650750939561
"RAB36",2.73102,2.73102,3.80523,3.80523,0.776449826543162
"RAB37",10.95511,10.95511,22.63276,22.63276,0.505870241139841
"RAB38",2.66895,2.66895,0.97222,0.97222,1.86031477218566
"RAB39A",0.40345,0.40345,1.76671,1.76671,0.507263139252036
"RAB39B",5.12066,5.12066,10.06713,10.06713,0.553048532004232
"RAB3A",53.84452,53.84452,339.13595,339.13595,0.161242938301582
"RAB3B",0.93103,0.93103,0.62724,0.62724,1.18669034684496
"RAB3C",5.2448,5.2448,19.64294,19.64294,0.302515048728524
"RAB3D",3.72412,3.72412,41.90981,41.90981,0.110094171938771
"RAB3GAP1",31.31362,31.31362,16.45449,16.45449,1.85130702759004
"RAB3GAP2",9.5896,9.5896,8.87539,8.87539,1.0723222070217
"RAB3IL1",15.88957,15.88957,29.75189,29.75189,0.549220551972578
"RAB3IP",13.00337,13.00337,23.51089,23.51089,0.571312180014679
"RAB40A",0.74482,0.74482,0.4077,0.4077,1.23948284435604
"RAB40AL",0,0,0.01045,0.01045,0.989658073135732
"RAB40B",121.53035,121.53035,23.38544,23.38544,5.0247340216129
"RAB40C",16.97577,16.97577,35.12521,35.12521,0.497596276948978
"RAB41",2.38964,2.38964,0.87813,0.87813,1.80479519522078
"RAB42",1.30344,1.30344,1.00358,1.00358,1.14966210483235
"RAB42P1",0,0,0,0,1
"RAB43",5.12066,5.12066,2.85392,2.85392,1.58816477768091
"RAB43P1",0,0,0.24044,0.24044,0.806165554158202
"RAB44",0,0,0.07318,0.07318,0.931810134367021
"RAB4A",91.98569,91.98569,53.8482,53.8482,1.69532801441068
"RAB4B",109.52007,109.52007,155.90992,155.90992,0.704353618942639
"RAB5A",53.81349,53.81349,42.5475,42.5475,1.25870578104369
"RAB5B",88.94432,88.94432,42.28615,42.28615,2.07790066799658
"RAB5C",183.19551,183.19551,128.40563,128.40563,1.42339641636921
"RAB6A",115.35452,115.35452,152.6692,152.6692,0.757175283010519
"RAB6B",82.17884,82.17884,224.55042,224.55042,0.368781578859396
"RAB6C",0.40345,0.40345,0.39725,0.39725,1.00443728752907
"RAB7A",988.10129,988.10129,231.77409,231.77409,4.24918980458693
"RAB7L1",16.75853,16.75853,6.03192,6.03192,2.5254169558243
"RAB8A",25.38606,25.38606,22.96728,22.96728,1.10092008771959
"RAB8B",44.09975,44.09975,10.27621,10.27621,3.99954860720047
"RAB9A",30.78603,30.78603,23.08228,23.08228,1.31989288389638
"RAB9AP1",0,0,0,0,1
"RAB9AP2",0,0,0,0,1
"RAB9AP3",0,0,0,0,1
"RAB9AP4",0,0,0,0,1
"RAB9AP5",0,0,0,0,1
"RAB9B",2.88619,2.88619,6.13646,6.13646,0.544554302833618
"RAB9BP1",0,0,0,0,1
"RABAC1",292.00179,292.00179,1005.31267,1005.31267,0.291163769209027
"RABEP1",53.84452,53.84452,31.59178,31.59178,1.6827715454633
"RABEP2",14.36888,14.36888,36.21241,36.21241,0.413004156409112
"RABEPK",22.28263,22.28263,37.6237,37.6237,0.602806825860806
"RABEPKP1",0,0,0,0,1
"RABGAP1",35.65842,35.65842,22.90456,22.90456,1.53353251429853
"RABGAP1L",68.15134,68.15134,52.28011,52.28011,1.29788283094761
"RABGEF1",14.64819,14.64819,12.90015,12.90015,1.12575691629227
"RABGGTA",36.24807,36.24807,76.15688,76.15688,0.482757597248619
"RABGGTB",53.25487,53.25487,58.00886,58.00886,0.919435996560516
"RABIF",10.86201,10.86201,12.85833,12.85833,0.855948011051837
"RABL2A",20.94816,20.94816,5.91692,5.91692,3.17311173181127
"RABL2B",20.82402,20.82402,7.66273,7.66273,2.51930049764912
"RABL3",9.46546,9.46546,12.7747,12.7747,0.759759559191852
"RABL5",22.62401,22.62401,38.14639,38.14639,0.603478634939263
"RABL6",79.29265,79.29265,89.23475,89.23475,0.889819609407684
"RAC1",307.2086,307.2086,245.79281,245.79281,1.24885566966072
"RAC1P1",0,0,0,0,1
"RAC1P2",0,0,8.33178,8.33178,0.107160691743697
"RAC1P3",0,0,0,0,1
"RAC1P4",0,0,0,0,1
"RAC1P5",0.65172,0.65172,0,0,1.65172
"RAC1P6",0,0,0,0,1
"RAC1P7",0,0,0,0,1
"RAC1P8",0,0,0,0,1
"RAC2",10.64477,10.64477,11.20661,11.20661,0.953972478845478
