"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"ACE",1.303784,1.277742,1.252099,1.277875,41,16,21,"Ace",5.44445,6.520775,5.744452,634,788,585,5.90322566666667,0.329972553410659
"ACE2",0,0.275135,0.093605,0.122913333333333,0,1,2,"Ace2",0.168836,0.249512,0.378854,15,17,20,0.265734,0.887163758999389
"ACER1",0.050862,0,0,0.016954,1,0,0,"Acer1",0.013295,0,0,1,0,0,0.00443166666666667,1.01246708337551
"ACER2",0.79589,1.105758,0.950331,0.950659666666667,33,37,35,"Acer2",2.221571,2.142382,1.847638,289,254,156,2.07053033333333,0.635284284766877
"ACER3",2.862275,3.818158,3.438456,3.372963,324,261,332,"Acer3",0.926464,1.225774,1.221333,111,103,103,1.12452366666667,2.05832632914892
"ACHE",23.639298,15.646921,24.253111,21.1797766666667,666,324,578,"Ache",0.171761,0.250681,0.356746,15,19,19,0.259729333333333,17.6067795515862
"ACIN1",177.532807,182.921232,142.933279,167.795772666667,3282,2682,2593,"Acin1",11.374627,9.188783,8.456991,624,549,377,9.673467,15.8145214358808
"ACKR1",7.550579,5.560224,10.119254,7.74335233333333,197,125,214,"Ackr1",0.082963,0.172283,0.044259,3,5,1,0.099835,7.94969457539843
"ACKR2",0.359601,0.085355,0.268785,0.237913666666667,6,3,9,"Ackr2",1.140292,0.306534,0.79591,18,14,17,0.747578666666667,0.708359337567255
"ACKR3",0.58853,1.270426,0.550161,0.803039,17,15,14,"Ackr3",7.941244,7.112321,8.687354,750,644,565,7.91363966666667,0.202278650184012
"ACKR4",0,0,0,0,0,0,0,"Ackr4",0.754575,1.177246,1.223792,37,56,45,1.051871,0.487360072831089
"ACLY",146.457605,153.677986,123.036365,141.057318666667,4402,3834,3894,"Acly",5.502024,5.385161,3.778894,400,366,307,4.888693,24.1237433615009
"ACMSD",0,0.090128,0.068505,0.0528776666666667,0,2,1,"Acmsd",0,0.051825,0.043596,0,3,2,0.031807,1.02042113172974
"ACO1",7.828545,10.438737,8.19943,8.82223733333333,589,574,554,"Aco1",3.025734,3.427605,3.641342,344,340,322,3.36489366666667,2.25028101104563
"ACO2",44.21915,38.397711,34.421423,39.0127613333333,1102,814,929,"Aco2",417.561995,438.868693,454.781168,22690,21156,18663,437.070618666667,0.0913386098686968
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0.025515,0,0,2,0,0.008505,0.991566725003842
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot3",0.184964,0.130714,0.304544,11,9,16,0.206740666666667,3.96079660308125
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot2",7.7519,7.104215,8.971836,492,470,388,7.94265033333333,0.534478499681172
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot1",8.562106,6.189232,7.189175,155,116,95,7.31350433333333,0.574926546218195
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot5",0,0,0,0,0,0,0,4.77965433333333
"ACOT11",0.37798,0.458171,0.465699,0.43395,35,34,33,"Acot11",3.849478,4.688608,4.957258,323,275,216,4.498448,0.260791772514717
"ACOT12",0.838379,0.711122,0.64397,0.731157,19,13,12,"Acot12",0,0,0,0,0,0,0,1.731157
