"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"ACAD10",21.73928,19.257871,23.277153,21.424768,392,285,343,"Acad10",0.953402,2.089012,1.322435,20,83,38,1.45494966666667,9.13451233012381
"ACAD11",13.192374,11.007639,9.386726,11.1955796666667,340,270,275,"Acad11",11.510665,10.029851,9.42974,198,617,402,10.3234186666667,1.07702276367891
"ACAD8",26.483493,20.192299,24.101738,23.59251,534,375,468,"Acad8",22.587965,18.479586,22.129273,169,624,442,21.065608,1.11451766930691
"ACAD9",19.252462,17.316786,16.985834,17.851694,406,304,324,"Acad9",33.288168,40.760278,41.790665,258,1076,590,38.613037,0.475896205585045
"ACADL",0.207989,0.400506,0.246715,0.28507,5,7,5,"Acadl",23.989554,27.786441,27.839466,286,1063,571,26.538487,0.0466645099275062
"ACADM",27.650351,25.508799,28.982212,27.380454,462,377,403,"Acadm",53.479148,49.461303,49.645235,187,658,428,50.8618953333333,0.547231330779362
"ACADS",4.599063,3.579749,4.281652,4.153488,112,71,98,"Acads",7.376174,4.693633,4.113654,41,181,88,5.394487,0.805926730322542
"ACADSB",2.345294,3.480124,2.567987,2.79780166666667,193,175,184,"Acadsb",192.571336,128.986745,179.660881,434,1410,912,167.072987333333,0.0225961454420669
"ACADVL",487.069067,525.545782,529.790065,514.134971333333,2890,2306,2580,"Acadvl",27.327889,26.55274,25.529242,288,1140,639,26.469957,18.7526675536235
"ACAN",13.521626,21.358045,13.180758,16.020143,1180,1435,924,"Acan",1.886721,2.604057,2.264707,54,340,200,2.25182833333333,5.23402260369423
