"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"DEF6",11.52983,8.34525,7.07888,8.98465333333333,14.44733,14.44733,0.646367581538903
"DEF8",93.13316,104.03927,104.47907,100.5505,162.18228,162.18228,0.622313280584142
"DEFA1",0,0,0,0,0,0,1
"DEFA10P",0,0,0,0,0.10454,0.10454,0.905354265123943
"DEFA11P",0,0,0,0,0,0,1
"DEFA1B",0,0,0,0,0,0,1
"DEFA3",0,1.4093,3.91086,1.77338666666667,0.1359,0.1359,2.44157642985005
"DEFA4",0,0,1.79157,0.59719,0.07318,0.07318,1.48827782850966
"DEFA5",0.41415,0,4.26044,1.55819666666667,0.4077,0.4077,1.8172882479695
"DEFA6",0,0,5.13437,1.71145666666667,0,0,2.71145666666667
"DEFA7P",0,0,0,0,0,0,1
"DEFA8P",0,0,0,0,0,0,1
"DEFA9P",0,0,0,0,0,0,1
"DEFB1",1.68972,0,1.24536,0.97836,0.19862,0.19862,1.6505314444945
"DEFB103A",0,0,0,0,0,0,1
"DEFB103B",0,0,0,0,0,0,1
"DEFB104A",0,0,0,0,0,0,1
"DEFB104B",0,0,0,0,0,0,1
"DEFB105A",0,0,0,0,0,0,1
"DEFB105B",0,0,0,0,0,0,1
"DEFB106A",0,0,0,0,0,0,1
"DEFB106B",0,0,0,0,0,0,1
"DEFB107A",0,0,0,0,0,0,1
"DEFB107B",0,0,0,0,0,0,1
"DEFB108B",0,0,0,0,0,0,1
"DEFB108P1",0,0,0,0,0,0,1
"DEFB108P2",0,0,0,0,0,0,1
"DEFB108P3",0,0,0,0,0,0,1
"DEFB108P4",0,0,0,0,0,0,1
"DEFB109",0,0,0,0,0,0,1
"DEFB109P1",0,0,0,0,0,0,1
"DEFB109P1B",0,0,0,0,0,0,1
"DEFB109P3",19.92871,2.43173,3.95456,8.77166666666667,2.19533,2.19533,3.05810876080613
"DEFB110",0,0,0,0,0,0,1
"DEFB112",0,0,0,0,0,0,1
"DEFB113",0,0,0,0,0,0,1
"DEFB114",0,0,0,0,0,0,1
"DEFB115",0,0,0,0,0,0,1
"DEFB116",0,0,0,0,0,0,1
"DEFB117",0,0,0,0,0,0,1
"DEFB118",0,0,0,0,0,0,1
"DEFB119",0,1.13296,0,0.377653333333333,0.24044,0.24044,1.11061666290456
"DEFB121",0,0,0,0,0,0,1
"DEFB122",0,0,0,0,0,0,1
"DEFB123",0,0,0,0,0,0,1
"DEFB124",0,1.5751,0.54621,0.707103333333333,11.1648,11.1648,0.140331393309658
"DEFB125",0,0,0,0,0,0,1
"DEFB126",0,0,0,0,0,0,1
"DEFB127",0,0,0,0,0,0,1
"DEFB128",0,0,0,0,0,0,1
"DEFB129",0,0,0,0,0,0,1
"DEFB130",0,0,0,0,0,0,1
"DEFB131",0,0,0,0,0,0,1
"DEFB132",0,0,0,0,0.12545,0.12545,0.888533475498689
"DEFB133",0,0,0,0,0,0,1
"DEFB134",0,0.13817,0,0.0460566666666667,0.01045,0.01045,1.03523842512412
"DEFB135",0,0,0,0,0,0,1
"DEFB136",0,0,0,0,0,0,1
"DEFB4A",0,1.658,0,0.552666666666667,0,0,1.55266666666667
"DEFB4B",0,0,0,0,0,0,1
"DEFT1P",0,0,0,0,0,0,1
"DEFT1P2",0,0,0,0,0,0,1
"DEGS1",33.463,31.25323,24.29543,29.6705533333333,80.61026,80.61026,0.37581737067537
"DEGS2",27.31707,31.19796,13.89558,24.13687,1.39037,1.39037,10.5158908453503
