"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Brain_2_Hippocampus","dHs_Avg__TPM","FoldChange"
"SYDE2",0.96082,0.71847,0.58991,0.7564,0.29043,0.29043,1.36109668870067
"SYF2",37.55476,36.06142,23.74921,32.45513,29.37536,29.37536,1.10139040327423
"SYF2P2",0,0.27633,0,0.09211,0,0,1.09211
"SYK",2.43518,2.04486,0.98318,1.82107333333333,2.40646,2.40646,0.828153958459319
"SYMPK",46.59971,32.35856,33.25327,37.4038466666667,30.64082,30.64082,1.21374372303457
"SYN1",106.88281,72.31627,212.38833,130.529136666667,73.50062,73.50062,1.76547707477692
"SYN2",115.16573,70.52011,96.48255,94.05613,58.12835,58.12835,1.6076235849639
"SYN3",9.57506,5.94115,15.66531,10.39384,6.65924,6.65924,1.48759406938547
"SYNC",23.67259,29.45707,44.17747,32.43571,33.8356,33.8356,0.95981438528402
"SYNCRIP",16.21796,20.86312,13.32753,16.80287,19.14792,19.14792,0.883608332770827
"SYNDIG1",26.8201,19.70252,68.88802,38.4702133333333,79.59975,79.59975,0.489706399006614
"SYNDIG1L",795.95555,800.28716,3.16802,533.13691,5.55974,5.55974,81.426536722492
"SYNE1",133.83543,115.61761,97.33464,115.595893333333,43.87633,43.87633,2.59816017337722
"SYNE2",24.7328,23.98568,14.02668,20.9150533333333,17.48829,17.48829,1.18534777057983
"SYNE3",1.65658,1.4922,1.94451,1.69776333333333,5.62198,5.62198,0.407395270498149
"SYNE4",1.82224,2.26593,2.14114,2.07643666666667,2.51018,2.51018,0.876432737542424
"SYNGAP1",89.6212,72.95184,57.39576,73.3229333333333,28.89821,28.89821,2.48586565327267
"SYNGR1",97.30775,80.24702,150.22962,109.261463333333,92.60705,92.60705,1.17791836547924
"SYNGR2",50.22763,45.2633,36.90195,44.13096,127.5629,127.5629,0.351041863554727
"SYNGR3",77.72693,59.93657,153.94385,97.20245,59.08264,59.08264,1.63445630884395
"SYNGR4",0.11596,0.30397,0,0.139976666666667,0.58087,0.58087,0.721107154077607
"SYNJ1",61.72433,29.7334,32.86,41.4392433333333,34.60317,34.60317,1.19200743454398
"SYNJ2",19.54769,16.05493,16.4737,17.3587733333333,71.21864,71.21864,0.25421100886604
"SYNJ2BP",9.27687,8.20708,4.39153,7.29182666666667,7.0949,7.0949,1.02432725131461
"SYNM",24.40148,25.86474,28.90544,26.3905533333333,32.46641,32.46641,0.818449105635571
"SYNPO",160.63896,151.20926,147.97924,153.27582,91.11339,91.11339,1.67484683822841
"SYNPO2",7.30554,8.64921,5.37471,7.10982,8.92048,8.92048,0.817482621808622
"SYNPO2L",1.32527,1.2435,1.13612,1.23496333333333,0.93354,0.93354,1.15589195637708
"SYNPR",1377.6982,754.00144,283.59228,805.097306666667,139.94784,139.94784,5.71911784293159
"SYNRG",67.52237,49.02142,82.56512,66.3696366666667,50.09992,50.09992,1.31839025710151
"SYP",255.39558,162.89813,551.49741,323.263706666667,339.16503,339.16503,0.953254091599794
"SYPL1",22.03257,30.50713,17.60981,23.38317,39.29161,39.29161,0.605167428156879
"SYPL2",1.06021,2.01723,2.38148,1.81964,1.5559,1.5559,1.10318870065339
"SYS1",20.7073,39.26688,23.98955,27.98791,32.48715,32.48715,0.865642791339365
"SYS1-DBNDD2",117.68374,163.17447,143.32553,141.39458,745.8353,745.8353,0.190663965669539
"SYT1",324.34261,158.83604,767.99324,417.057296666667,532.78099,532.78099,0.783200047395219
"SYT10",0.79516,0.30397,0.0437,0.380943333333333,0,0,1.38094333333333
"SYT11",164.33315,148.0038,104.28243,138.873126666667,126.44265,126.44265,1.09753780752885
"SYT12",21.05518,16.4418,18.70223,18.73307,7.5098,7.5098,2.31886413311711
