"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Heart","dHs_Avg__TPM","FoldChange"
"ALDH16A1",8.76333,7.01885,7.25367,7.67861666666667,0.44278,0.44278,6.01520444327387
"ALDH18A1",16.36705,15.83386,10.37799,14.1929666666667,12.208,12.208,1.15028518069857
"ALDH1A1",53.4414,148.5012,71.40058,91.1143933333333,37.66136,37.66136,2.38259578383516
"ALDH1A2",6.36128,2.23829,11.49226,6.69727666666667,12.35981,12.35981,0.576151656847415
"ALDH1A3",7.17301,3.97919,14.66028,8.60416,1.39159,1.39159,4.01580538470223
"ALDH1B1",4.19116,4.72529,8.06206,5.65950333333333,15.24419,15.24419,0.409962166986063
"ALDH1L1",91.44344,80.52335,57.5487,76.5051633333333,21.68343,21.68343,3.41681850290425
"ALDH1L2",1.60689,2.04486,2.53441,2.06205333333333,1.88497,1.88497,1.06138134307578
"ALDH2",392.95832,453.68305,336.15954,394.26697,277.83638,277.83638,1.41755882069621
"ALDH3A1",0.39758,3.39889,0.56806,1.45484333333333,0,0,2.45484333333333
"ALDH3A2",54.30283,40.42748,17.39133,37.37388,82.45777,82.45777,0.459799968295343
"ALDH3B1",7.12331,6.41092,4.87219,6.13547333333333,2.25184,2.25184,2.19428795184675
"ALDH3B2",0.48041,0.35923,0.93948,0.59304,0,0,1.59304
"ALDH4A1",75.52367,107.35526,79.87776,87.5855633333333,3.99765,3.99765,17.7254436251705
"ALDH5A1",36.1301,30.3137,23.90215,30.1153166666667,27.81906,27.81906,1.07967840264973
"ALDH6A1",99.0803,143.02981,103.56143,115.223846666667,97.86641,97.86641,1.17556454883581
"ALDH7A1",110.52729,128.41181,56.1504,98.3631666666667,83.48248,83.48248,1.17613932103635
"ALDH7A1P1",0.06626,0.0829,0,0.04972,0.06325,0.06325,0.987274864801317
"ALDH7A1P2",0,0,0,0,0,0,1
"ALDH7A1P3",0,0,0,0,0,0,1
"ALDH7A1P4",0,0,0,0,0,0,1
"ALDH8A1",4.50591,7.29518,2.66551,4.8222,1.05001,1.05001,2.84008370690875
"ALDH9A1",68.9636,64.44079,38.16916,57.1911833333333,102.5472,102.5472,0.561977371993963
"ALDOA",4239.38105,3219.63532,2831.18171,3430.06602666667,463.17027,463.17027,7.39182633706089
"ALDOAP1",0,0,0,0,0,0,1
"ALDOAP2",0.26505,0,0,0.08835,0,0,1.08835
"ALDOB",0.48041,1.18823,1.94451,1.20438333333333,1.6952,1.6952,0.817892302364698
"ALDOC",823.0407,882.91065,796.35247,834.101273333333,136.95732,136.95732,6.05333064844499
