"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"Acap2","ACAP2",2522,3.59664,2425,3.19418,2265,3.40302,3.39794666667,"ACAP2",22.737422,25.4554,28.768513,509,2068,1130,25.6537783333333,0.165002747890715
"Acap3","ACAP3",1843,18.5386,1860,17.2806,1658,17.5703,17.7965,"ACAP3",20.858138,22.288186,21.60155,324,1404,830,21.5826246666667,0.832343462172702
"Acat1","ACAT1",2255,11.7209,2540,12.1939,2009,11.0011,11.6386333333,"ACAT1",27.981588,41.326883,51.020392,423,1692,1035,40.109621,0.307437359573322
"Acat2","ACAT2",4907,42.6482,5210,41.8232,4290,39.2813,41.2509,"ACAT2",21.793864,27.314291,29.301711,186,906,543,26.136622,1.5569697658021
"Acbd3","ACBD3",1927,10.6203,1892,9.63096,1682,9.76615,10.0058033333,"ACBD3",11.640037,11.430117,12.696939,265,965,610,11.9223643333333,0.851686506385712
"Acbd4","ACBD4",1209,17.8389,1276,17.3895,1043,16.2133,17.1472333333,"ACBD4",49.52793,55.202241,55.661162,120,558,315,53.4637776666667,0.333198211926578
"Acbd5","ACBD5",3686,12.0717,3999,12.0965,3332,11.4964,11.8882,"ACBD5",36.358403,38.338337,37.022115,721,2219,1388,37.2396183333333,0.337037882743861
"Acbd6","ACBD6",803,0.935605,895,0.963152,731,0.897301,0.932019333333,"ACBD6",35.945392,35.894611,35.871149,188,692,414,35.9037173333333,0.0523529734384753
"Acbd7","ACBD7",20,0.64322,26,0.772321,13,0.440471,0.618670666667,"ACBD7",0.489517,0.389686,0.926633,1,3,4,0.601945333333333,1.01044063925631
"Accs","ACCS",221,2.08176,241,2.09677,223,2.21303,2.13052,"ACCS",4.011864,4.156498,4.12503,21,102,76,4.09779733333333,0.614092674797063
"Accsl","ACCSL",11,0.123744,13,0.135074,24,0.284438,0.181085333333,"ACCSL",0,0.036953,0.308815,0,2,4,0.115256,1.05902620863102
"Acd","ACD",744,22.0247,762,20.8347,731,22.7981,21.8858333333,"ACD",12.505277,15.687622,17.331572,102,490,312,15.1748236666667,1.41490465707292
"Ace","ACE",138,0.9727,237,1.54292,123,0.913374,1.142998,"ACE",7.222874,11.540329,13.795783,209,1077,644,10.8529953333333,0.180798012631744
"Ace2","ACE2",48,0.151766,63,0.183979,43,0.143234,0.159659666667,"ACE2",0.85973,0.864133,0.577398,15,60,28,0.767087,0.656254992916025
"Acer1","ACER1",7,0.0379391,3,0.0150178,5,0.0285498,0.0271689,"ACER1",0,0.018434,0.02977,0,1,1,0.016068,1.01092535145286
"Acer2","ACER2",164,0.42124,123,0.2918,104,0.281425,0.331488333333,"ACER2",4.509376,2.843414,1.85398,75,244,99,3.06892333333333,0.327233576122021
