"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"Acadsb","ACADSB",1236,5.00309,1298,4.85276,1148,4.89559,4.91714666667,"ACADSB",128.314701,142.932978,153.196559,1614,1467,1364,141.481412666667,0.0415292532262653
"Acadvl","ACADVL",2096,62.2142,2226,61.0265,1855,58.0078,60.4161666667,"ACADVL",139.431027,132.111617,154.831617,9440,8497,7659,142.124753666667,0.429109326607027
"Acan","ACAN",25,0.0629733,37,0.0860821,32,0.0849201,0.0779918333333,"ACAN",0.015363,0.024935,0.010729,4,3,2,0.017009,1.05996292395967
"Acap1","ACAP1",19,0.211048,28,0.287263,11,0.128725,0.209012,"ACAP1",0.252565,0.107747,0.114382,16,5,7,0.158231333333333,1.04384328519288
"Acap2","ACAP2",2522,3.59664,2425,3.19418,2265,3.40302,3.39794666667,"ACAP2",2.510354,3.088726,3.307991,345,341,264,2.96902366666667,1.10806763477013
"Acap3","ACAP3",1843,18.5386,1860,17.2806,1658,17.5703,17.7965,"ACAP3",1.933753,2.709172,2.375971,133,146,103,2.339632,5.62831473647396
"Acat1","ACAT1",2255,11.7209,2540,12.1939,2009,11.0011,11.6386333333,"ACAT1",93.491079,94.716414,110.493341,5260,5078,4190,99.5669446666667,0.125673832243699
"Acat2","ACAT2",4907,42.6482,5210,41.8232,4290,39.2813,41.2509,"ACAT2",0.66719,0.447738,1.304108,34,26,33,0.806345333333333,23.3902671988154
"Acbd3","ACBD3",1927,10.6203,1892,9.63096,1682,9.76615,10.0058033333,"ACBD3",2.402008,2.812018,2.585089,261,286,201,2.599705,3.05741813101351
"Acbd4","ACBD4",1209,17.8389,1276,17.3895,1043,16.2133,17.1472333333,"ACBD4",7.598094,6.460876,8.388294,99,80,69,7.48242133333333,2.13939306009086
"Acbd5","ACBD5",3686,12.0717,3999,12.0965,3332,11.4964,11.8882,"ACBD5",2.76439,3.148991,3.874531,318,223,239,3.26263733333333,3.02352721851699
"Acbd6","ACBD6",803,0.935605,895,0.963152,731,0.897301,0.932019333333,"ACBD6",7.456026,9.740249,9.378408,138,215,119,8.85822766666667,0.195980393094966
"Acbd7","ACBD7",20,0.64322,26,0.772321,13,0.440471,0.618670666667,"ACBD7",0.204416,0.219119,0.143098,2,2,1,0.188877666666667,1.36151154324008
"Accs","ACCS",221,2.08176,241,2.09677,223,2.21303,2.13052,"ACCS",0.560678,1.577455,1.883585,37,56,40,1.34057266666667,1.33750173390615
"Accsl","ACCSL",11,0.123744,13,0.135074,24,0.284438,0.181085333333,"ACCSL",0,0,0,0,0,0,0,1.181085333333
"Acd","ACD",744,22.0247,762,20.8347,731,22.7981,21.8858333333,"ACD",1.489058,1.256628,1.749415,61,49,54,1.498367,9.16031685228791
"Ace","ACE",138,0.9727,237,1.54292,123,0.913374,1.142998,"ACE",5.44445,6.520775,5.744452,634,788,585,5.90322566666667,0.310434296005679
"Ace2","ACE2",48,0.151766,63,0.183979,43,0.143234,0.159659666667,"ACE2",0.168836,0.249512,0.378854,15,17,20,0.265734,0.916195398612189
"Acer1","ACER1",7,0.0379391,3,0.0150178,5,0.0285498,0.0271689,"ACER1",0.013295,0,0,1,0,0,0.00443166666666667,1.02263691407579
"Acer2","ACER2",164,0.42124,123,0.2918,104,0.281425,0.331488333333,"ACER2",2.221571,2.142382,1.847638,289,254,156,2.07053033333333,0.433634645741327
"Acer3","ACER3",1535,2.07495,1585,1.9789,1417,2.01796,2.02393666667,"ACER3",0.926464,1.225774,1.221333,111,103,103,1.12452366666667,1.42334807284802
"Ache","ACHE",1971,44.0295,2243,46.2787,1766,41.5616,43.9566,"ACHE",0.171761,0.250681,0.356746,15,19,19,0.259729333333333,35.6875074751508
"Acin1","ACIN1",2198,7.61988,2253,7.214,1930,7.0489,7.29426,"ACIN1",11.374627,9.188783,8.456991,624,549,377,9.673467,0.777091454913385
"Ackr1","ACKR1",3242,269.806,3228,248.123,2902,254.437,257.455333333,"ACKR1",0.082963,0.172283,0.044259,3,5,1,0.099835,234.994643135561
"Ackr2","ACKR2",9,0.109818,13,0.14651,5,0.0642753,0.106867766667,"ACKR2",1.140292,0.306534,0.79591,18,14,17,0.747578666666667,0.633372212524338
