"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"Acad9","ACAD9",1057,6.10441,1133,6.04357,966,5.87746,6.00848,"ACAD9",35.76316,32.365758,33.771603,1593,407,659,33.9668403333333,0.200432178978406
"Acadl","ACADL",3283,15.708,3290,14.5392,2889,14.5627,14.9366333333,"ACADL",73.220247,63.531695,77.515492,4260,1046,1720,71.422478,0.220050925809249
"Acadm","ACADM",1534,10.6882,1588,10.2194,1361,9.99038,10.2993266667,"ACADM",104.286834,133.069582,89.941463,2042,555,727,109.099293,0.102628512489176
"Acads","ACADS",332,5.69511,370,5.8622,310,5.60235,5.71988666667,"ACADS",9.784882,10.757871,9.318308,551,138,214,9.953687,0.613481713204878
"Acadsb","ACADSB",1236,5.00309,1298,4.85276,1148,4.89559,4.91714666667,"ACADSB",96.232375,126.89331,108.03208,1698,455,653,110.385921666667,0.0531229313196119
"Acadvl","ACADVL",2096,62.2142,2226,61.0265,1855,58.0078,60.4161666667,"ACADVL",42.023617,41.941155,42.073591,3114,819,1237,42.0127876666667,1.42785831838319
"Acan","ACAN",25,0.0629733,37,0.0860821,32,0.0849201,0.0779918333333,"ACAN",0.130892,0.191164,0.119876,36,15,14,0.147310666666667,0.939581461806887
"Acap1","ACAP1",19,0.211048,28,0.287263,11,0.128725,0.209012,"ACAP1",0.091783,0.232758,0.226778,10,6,5,0.183773,1.02132081066218
"Acap2","ACAP2",2522,3.59664,2425,3.19418,2265,3.40302,3.39794666667,"ACAP2",20.793923,20.213468,20.579347,2488,592,1000,20.5289126666667,0.20428094696484
"Acap3","ACAP3",1843,18.5386,1860,17.2806,1658,17.5703,17.7965,"ACAP3",26.341607,23.504182,26.967993,2641,611,998,25.604594,0.706513318714805
"Acat1","ACAT1",2255,11.7209,2540,12.1939,2009,11.0011,11.6386333333,"ACAT1",45.268253,39.492711,43.532401,3117,754,1257,42.764455,0.288787632184612
"Acat2","ACAT2",4907,42.6482,5210,41.8232,4290,39.2813,41.2509,"ACAT2",118.574216,110.048324,111.242826,6929,1639,2550,113.288455333333,0.369686508377169
"Acbd3","ACBD3",1927,10.6203,1892,9.63096,1682,9.76615,10.0058033333,"ACBD3",19.496714,17.2792,18.511416,2687,586,1015,18.42911,0.56645946897722
"Acbd4","ACBD4",1209,17.8389,1276,17.3895,1043,16.2133,17.1472333333,"ACBD4",125.69735,116.889252,125.849008,2023,465,730,122.81187,0.146571030171017
"Acbd5","ACBD5",3686,12.0717,3999,12.0965,3332,11.4964,11.8882,"ACBD5",54.568877,48.479724,53.439881,5713,1396,2284,52.1628273333333,0.242428791817079
"Acbd6","ACBD6",803,0.935605,895,0.963152,731,0.897301,0.932019333333,"ACBD6",31.172844,27.736285,33.386355,1047,224,446,30.7651613333333,0.0608219587824225
"Acbd7","ACBD7",20,0.64322,26,0.772321,13,0.440471,0.618670666667,"ACBD7",2.097597,1.943282,1.424488,26,6,7,1.821789,0.573632779299586
"Accs","ACCS",221,2.08176,241,2.09677,223,2.21303,2.13052,"ACCS",5.583149,6.109839,6.953522,303,83,147,6.21550333333333,0.433860238902253
"Accsl","ACCSL",11,0.123744,13,0.135074,24,0.284438,0.181085333333,"ACCSL",0.399985,0.65421,0.94449,14,3,7,0.666228333333333,0.70883762429499
