"Hs_symbol","Heart","dHs_Avg_TPM","Spinal_cord","dHs_Avg__TPM","FoldChange"
"STX2",14.68755,14.68755,23.61711,23.61711,0.637262050663136
"STX3",20.77258,20.77258,5.36894,5.36894,3.41855630607291
"STX4",21.27861,21.27861,94.46843,94.46843,0.233361017877847
"STX5",12.77729,12.77729,25.75847,25.75847,0.514875850525086
"STX6",8.03324,8.03324,11.04821,11.04821,0.749757847846278
"STX7",74.69019,74.69019,55.86175,55.86175,1.33112663609544
"STX8",177.3386,177.3386,708.17185,708.17185,0.251474448682643
"STXBP1",16.83818,16.83818,43.91354,43.91354,0.39716709036963
"STXBP2",0.53133,0.53133,8.25513,8.25513,0.165457427394321
"STXBP3",43.31626,43.31626,59.30656,59.30656,0.734849741056363
"STXBP4",3.40306,3.40306,1.30344,1.30344,1.91151495155072
"STXBP5",5.42718,5.42718,4.37584,4.37584,1.19556757641596
"STXBP5L",0,0,4.90342,4.90342,0.169393334711066
"STXBP6",27.33833,27.33833,93.81671,93.81671,0.298874850224185
"STYK1",0.0253,0.0253,0.21724,0.21724,0.842315402057113
"STYX",14.56104,14.56104,4.81032,4.81032,2.67817263076732
"STYXL1",19.86172,19.86172,55.58244,55.58244,0.368696012402434
"SUB1",365.68337,365.68337,182.35759,182.35759,1.99982651386288
"SUB1P1",0,0,1.95516,1.95516,0.338391153101693
"SUB1P2",0,0,0,0,1
"SUB1P3",0,0,0,0,1
"SUB1P4",0,0,1.30344,1.30344,0.434133296287292
"SUCLA2",306.43978,306.43978,29.60673,29.60673,10.044842425179
"SUCLA2P1",0,0,0,0,1
"SUCLA2P2",0,0,0,0,1
"SUCLA2P3",0,0,0,0,1
"SUCLG1",564.6295,564.6295,53.53418,53.53418,10.3720180628002
"SUCLG2",91.1615,91.1615,53.13073,53.13073,1.70257264219418
"SUCLG2P2",0,0,0,0,1
"SUCLG2P4",0,0,0,0,1
"SUCNR1",0.18976,0.18976,0,0,1.18976
"SUCO",18.40688,18.40688,8.4103,8.4103,2.06230194574031
"SUDS3",22.7714,22.7714,8.09995,8.09995,2.61225611129731
"SUDS3P1",0.20241,0.20241,0,0,1.20241
"SUFU",3.20065,3.20065,4.84135,4.84135,0.719123147902454
"SUGP1",18.34363,18.34363,37.95496,37.95496,0.496563980556006
"SUGP2",51.12179,51.12179,24.67227,24.67227,2.0302758579588
"SUGT1",63.79787,63.79787,28.27225,28.27225,2.21362792405777
"SUGT1P",1.08797,1.08797,3.04136,3.04136,0.516650335530614
"SUGT1P2",0,0,0,0,1
"SUGT1P3",0,0,36.83772,36.83772,0.0264286537349502
"SULF1",10.33569,10.33569,11.38959,11.38959,0.914936652463883
"SULF2",31.82936,31.82936,28.52053,28.52053,1.11208572474817
"SULT1A1",7.23624,7.23624,25.29296,25.29296,0.313248869659407
"SULT1A2",0.06325,0.06325,2.91722,2.91722,0.271429738436953
"SULT1A3",0.54398,0.54398,0.52758,0.52758,1.01073593527017
"SULT1A4",0.06325,0.06325,0,0,1.06325
"SULT1B1",0.46808,0.46808,0.15517,0.15517,1.27087787944632
"SULT1C2",0.36687,0.36687,1.92413,1.92413,0.467445017834364
"SULT1C2P1",0,0,0.93103,0.93103,0.517858345028301
"SULT1C3",0,0,0,0,1
"SULT1C4",7.05913,7.05913,7.10686,7.10686,0.994112393701137
"SULT1D1P",0,0,0,0,1
"SULT1E1",0.11386,0.11386,0.24827,0.24827,0.892322974997396
"SULT2A1",0,0,0.37241,0.37241,0.728645229924002
"SULT2B1",0,0,1.89309,1.89309,0.345651189558569
"SULT4A1",0.17711,0.17711,13.71716,13.71716,0.0799821432939507
"SULT6B1",0,0,49.53075,49.53075,0.0197899298941734
"SUMF1",9.42483,9.42483,22.03436,22.03436,0.452577367029082
"SUMF2",36.05472,36.05472,114.20625,114.20625,0.321638105571529
"SUMO1",150.93643,150.93643,67.28238,67.28238,2.22511913029394
"SUMO1P1",0,0,0,0,1
"SUMO1P2",0,0,0,0,1
"SUMO2",148.96291,148.96291,178.32313,178.32313,0.836271985660745
"SUMO2P1",0,0,0,0,1
"SUMO2P2",0,0,0,0,1
"SUMO2P3",0,0,0,0,1
"SUMO2P4",0,0,0,0,1
"SUMO2P5",0,0,0,0,1
"SUMO2P6",0,0,0,0,1
"SUMO2P7",0,0,0,0,1
"SUMO2P8",0,0,0,0,1
