"Hs_symbol","Heart","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"POLR3A",7.66637,7.66637,5.02834,5.02834,1.43760471373546
"POLR3B",16.61047,16.61047,4.53701,4.53701,3.180501750945
"POLR3C",18.22977,18.22977,18.40937,18.40937,0.99074673727174
"POLR3D",10.12062,10.12062,11.0498,11.0498,0.922888346694551
"POLR3E",28.13533,28.13533,20.4688,20.4688,1.35710100238486
"POLR3F",23.93527,23.93527,11.72931,11.72931,1.958886223998
"POLR3G",3.32715,3.32715,42.74612,42.74612,0.098915058066864
"POLR3GL",111.85817,111.85817,38.35547,38.35547,2.86766159824797
"POLR3H",49.42659,49.42659,70.57448,70.57448,0.704533096153825
"POLR3K",13.43513,13.43513,18.63936,18.63936,0.735010203998501
"POLR3KP1",0,0,0,0,1
"POLR3KP2",0,0,0,0,1
"POLRMT",3.59282,3.59282,61.07186,61.07186,0.0739919828405335
"POLRMTP1",0.0759,0.0759,0.5227,0.5227,0.706573849083864
"POM121",5.7055,5.7055,3.69024,3.69024,1.42967097632531
"POM121B",0.8476,0.8476,0.12545,0.12545,1.64165444933138
"POM121C",22.12621,22.12621,3.52297,3.52297,5.11305845495327
"POM121L10P",0.12651,0.12651,0.1359,0.1359,0.991733427238313
"POM121L12",0,0,0,0,1
"POM121L13P",0,0,0,0,1
"POM121L1P",0,0,0,0,1
"POM121L2",0,0,0,0,1
"POM121L3P",0,0,0,0,1
"POM121L4P",0,0,0,0,1
"POM121L7",0,0,0.01045,0.01045,0.989658073135732
"POM121L8P",0,0,0.01045,0.01045,0.989658073135732
"POM121L9P",1.40424,1.40424,0.17772,0.17772,2.04143599497334
"POMC",0,0,7.20276,7.20276,0.121910186327529
"POMGNT1",86.89819,86.89819,61.09277,61.09277,1.41559460143266
"POMP",190.79903,190.79903,140.22902,140.22902,1.35807095453895
"POMT1",10.87967,10.87967,37.00691,37.00691,0.312566057066991
"POMT2",14.63695,14.63695,9.64898,9.64898,1.46839885134539
"POMZP3",6.37599,6.37599,7.89272,7.89272,0.829441385762736
"PON1",0.45543,0.45543,0.15681,0.15681,1.25814092201831
"PON2",97.91702,97.91702,97.32609,97.32609,1.00600990032249
"PON3",3.2639,3.2639,1.73535,1.73535,1.55881331456669
