"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg__TPM","FoldChange"
"SLC4A8",3.561515,0.821489,3.690482,130,100,56,5.80925733333333,24.131098,30.237405,15.190277,1021,571,896,23.176624,0.28164632635778
"SLC4A9",0.297288,0.180449,0.182113,6,1,1,0,0.02302,0,0.274469,1,0,2,0,1
"SLC50A1",10.523856,9.297849,10.455905,122,113,120,4.682219,15.105467,17.168621,14.9664,148,113,117,0,5.682219
"SLC51A",7.208792,5.273507,4.925179,80,55,48,0,10.021807,5.497988,11.86997,76,42,78,0,1
"SLC51B",0,0.066472,0,0,1,0,0,0.449594,0.334104,0.101606,5,3,1,0,1
"SLC52A1",0.089684,0.036161,0.075768,5,2,4,1.470752,0.067593,0.120652,0.149639,3,4,5,2.24133733333333,0.76226314817382
"SLC52A2",5.694904,6.597118,7.154295,183,171,166,0,23.397281,24.07681,26.497217,477,355,458,0,1
"SLC52A3",0.064682,0.07819,0.120811,1,2,2,0,0.386833,0.138338,0.298841,4,1,3,10.7655593333333,0.0849938342639497
"SLC5A1",6.193948,4.153199,3.865388,479,348,338,12.3014353333333,0,0.050373,0.015259,0,3,1,23.5569943333333,0.54165567466366
"SLC5A10",0,0,0,0,0,0,6.01497366666667,0,0.01761,0,0,1,0,0,7.01497366666667
"SLC5A11",0,0,0,0,0,0,0,0.267412,0.331507,0.339874,4,2,2,0,1
