"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","FoldChange"
"ADAM22",21.4299,21.4299,0.473128,0.221024,0.122401,0.272184333333333,17.6310141638279
"ADAM23",13.42221,13.42221,41.864549,35.696454,23.789355,33.7834526666667,0.414628476885532
"ADAM28",18.21438,18.21438,0.222073,0,0.032833,0.0849686666666667,17.7096174205952
"ADAM29",0.08298,0.08298,0.022632,0,0,0.007544,1.07487117187934
"ADAM30",0,0,0,0,0,0,1
"ADAM32",8.92048,8.92048,1.741478,1.890163,5.623824,3.085155,2.42842193258273
"ADAM33",7.98694,7.98694,0.151082,0.049411,0.215616,0.138703,7.8922598781245
"ADAM3A",0.74683,0.74683,0.13521,0.063743,0.062082,0.0870116666666667,1.60700207142824
"ADAM3B",0,0,0,0,0,0,1
"ADAM5",0,0,0,0,0,0,1
"ADAM6",0,0,0,0,0,0,1
"ADAM7",0,0,0,0,0,0,1
"ADAM8",7.5098,7.5098,1.440741,0.605901,0.327876,0.791506,4.75008177477497
"ADAM9",17.84096,17.84096,26.964509,19.212823,18.44891,21.5420806666667,0.835812819526479
"ADAMDEC1",0.12447,0.12447,0,0,0,0,1.12447
"ADAMTS1",17.15637,17.15637,7.164372,3.536363,3.442214,4.71431633333333,3.17734772471177
"ADAMTS10",7.03266,7.03266,2.733393,2.863047,1.555908,2.384116,2.37363612831239
"ADAMTS12",2.6554,2.6554,9.689995,10.514763,8.128071,9.44427633333333,0.349990739744566
"ADAMTS13",7.07415,7.07415,3.498026,3.363595,2.00095,2.95419033333333,2.04192244666017
"ADAMTS14",15.04035,15.04035,1.363407,0.882597,0.773,1.00633466666667,7.99485263674854
"ADAMTS15",0.43565,0.43565,5.729811,5.379448,3.798096,4.96911833333333,0.240512906568279
"ADAMTS16",0.41491,0.41491,0.036176,0.066894,0.143115,0.0820616666666667,1.30760569714911
"ADAMTS17",5.41453,5.41453,0.492449,0.402607,0.432152,0.442402666666667,4.44711462910958
"ADAMTS18",6.4103,6.4103,0.121899,0.017094,0.017158,0.0520503333333333,7.04367439960889
"ADAMTS19",1.74261,1.74261,2.13328,0.847573,1.17336,1.38473766666667,1.15006779921146
"ADAMTS2",4.02459,4.02459,0.115833,0.086629,0.03467,0.079044,4.65652003069384
"ADAMTS20",0.06224,0.06224,0.194401,0.034761,0.182112,0.137091333333333,0.934172980534545
"ADAMTS3",0.66385,0.66385,0.99259,0.688442,0.66207,0.781034,0.9342045126595
"ADAMTS4",36.36652,36.36652,0.02932,0.026379,0.464571,0.173423333333333,31.8440233277561
"ADAMTS5",0.12447,0.12447,0.014722,0,0,0.00490733333333333,1.11897879804506
"ADAMTS6",0.91279,0.91279,0.791118,0.693934,0.622677,0.702576333333333,1.12346798352066
"ADAMTS7",5.06186,5.06186,5.459603,4.568133,3.862321,4.630019,1.07670329354128
"ADAMTS8",6.43105,6.43105,0.317805,0.100515,0.182645,0.200321666666667,6.1908821663082
"ADAMTS9",7.2816,7.2816,11.270211,9.013448,9.75239,10.0120163333333,0.752051191109445
"ADAMTSL1",7.07415,7.07415,2.699594,2.503845,1.528651,2.24403,2.48892581141358
