"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","FoldChange"
"ACTR3",37.94317,37.94317,61.541822,74.758475,82.615188,72.9718283333333,0.526459476228078
"ACTR3B",43.35769,43.35769,12.200305,11.066625,8.231572,10.4995006666667,3.85735792238167
"ACTR3C",1.34844,1.34844,0.478798,0.028455,0.143524,0.216925666666667,1.92981384510749
"ACTR5",9.43911,9.43911,2.300345,2.272068,2.6564,2.40960433333333,3.06167783104452
"ACTR6",18.31811,18.31811,26.189179,23.847515,19.715424,23.250706,0.796599901050303
"ACTR8",13.44296,13.44296,26.624084,28.334546,22.577852,25.845494,0.538003137509781
"ACTRT1",0,0,0,0,0,0,1
"ACTRT2",0,0,0,0,0,0,1
"ACTRT3",0.26969,0.26969,0.786164,0.893232,0.943422,0.874272666666667,0.677430782927706
"ACVR1",9.12794,9.12794,7.530875,6.531985,5.489665,6.51750833333333,1.34724692689621
"ACVR1B",11.99079,11.99079,35.019207,49.193225,49.103909,44.4387803333333,0.285896538258755
"ACVR1C",0.58087,0.58087,0.202768,0.064909,0.072133,0.11327,1.42002389357478
"ACVR2A",8.40185,8.40185,16.001132,14.786883,12.909514,14.565843,0.604005192651628
"ACVR2B",0.85056,0.85056,4.136669,3.378978,3.850929,3.78885866666667,0.386430280952121
"ACVRL1",11.2647,11.2647,1.158399,0.437574,0.500078,0.698683666666667,7.22012004981897
"ACY1",14.97811,14.97811,16.513926,11.864692,15.383214,14.5872773333333,1.02507382516579
"ACY3",14.35575,14.35575,0,0,0,0,15.35575
"ACYP1",32.25895,32.25895,23.726514,23.728152,24.186164,23.8802766666667,1.33675965286024
"ACYP2",455.27652,455.27652,13.526342,21.437315,22.138132,19.0339296666667,22.7751882726819
"ADA",13.42221,13.42221,2.752245,0.680643,2.280619,1.90450233333333,4.96546683212626
"ADAD1",0,0,0,0,0,0,1
"ADAD2",2.09528,2.09528,0,0.231674,0.001766,0.0778133333333333,2.87181453807709
"ADAL",6.32732,6.32732,12.105016,15.600091,15.33191,14.3456723333333,0.47748445560667
"ADAM10",25.70344,25.70344,70.311374,70.683677,76.336447,72.4438326666667,0.363589957528451
"ADAM11",19.9155,19.9155,21.676701,61.251494,63.202393,48.710196,0.420748693085016
"ADAM12",1.95006,1.95006,253.498386,167.661955,151.796176,190.985505666667,0.0153660558371631
"ADAM15",157.24943,157.24943,30.979275,23.526472,41.074168,31.8599716666667,4.81587238130607
"ADAM17",11.9493,11.9493,14.349408,16.247264,14.244751,14.947141,0.812013890138677
"ADAM18",0,0,0,0,0,0,1
"ADAM19",4.56397,4.56397,16.94927,22.701045,23.52762,21.0593116666667,0.252227725147362
"ADAM2",1.34844,1.34844,0,0,0,0,2.34844
"ADAM20",0,0,0.060308,0.079075,0.087706,0.0756963333333333,0.929630388253934
"ADAM21",0.41491,0.41491,0.188727,0.221899,0.309121,0.239915666666667,1.14113406099931
"ADAM21P1",0.26969,0.26969,0.012879,0,0,0.004293,1.26426252099736
"ADAM22",21.4299,21.4299,13.135,11.196035,9.8092,11.3800783333333,1.81177367348376
"ADAM23",13.42221,13.42221,48.84821,52.745915,47.205046,49.5997236666667,0.285025469605496
"ADAM28",18.21438,18.21438,1.502507,0.416905,0.03323,0.650880666666667,11.6388666897385
"ADAM29",0.08298,0.08298,0.184234,0.673702,0.264276,0.374070666666667,0.788154515100145
"ADAM30",0,0,0,0,0,0,1
"ADAM32",8.92048,8.92048,0.985926,0.562709,0.705876,0.751503666666667,5.66397900775162
"ADAM33",7.98694,7.98694,1.225579,0.212729,0.396698,0.611668666666667,5.57617094994298
"ADAM3A",0.74683,0.74683,0.341385,0,0.42368,0.255021666666667,1.39187238467331
"ADAM3B",0,0,0,0,0,0,1
"ADAM5",0,0,0,0,0,0,1
"ADAM6",0,0,0,0,0,0,1
"ADAM7",0,0,0.297177,0.021595,0.063257,0.127343,0.887041477172431
"ADAM8",7.5098,7.5098,5.896302,4.237317,5.824988,5.31953566666667,1.34658627609085
"ADAM9",17.84096,17.84096,31.044422,15.040139,19.545192,21.8765843333333,0.82359148225406
"ADAMDEC1",0.12447,0.12447,0,0,0,0,1.12447
"ADAMTS1",17.15637,17.15637,53.416922,36.50485,34.398098,41.4399566666667,0.427813113538366
"ADAMTS10",7.03266,7.03266,30.984806,32.271974,30.357747,31.2048423333333,0.249423981550932
"ADAMTS12",2.6554,2.6554,3.104435,1.18569,1.477975,1.9227,1.2506928524994
"ADAMTS13",7.07415,7.07415,8.251614,7.895253,8.511647,8.21950466666667,0.875768307726149
"ADAMTS14",15.04035,15.04035,1.91118,0.569069,0.357461,0.945903333333333,8.24313814834927
"ADAMTS15",0.43565,0.43565,3.856279,2.752015,3.081575,3.22995633333333,0.339400666783873
"ADAMTS16",0.41491,0.41491,38.568071,1.033011,1.581908,13.7276633333333,0.0960715877309345
"ADAMTS17",5.41453,5.41453,0.604486,0.821092,0.902747,0.776108333333333,3.61156460989148
"ADAMTS18",6.4103,6.4103,0.836196,0.34132,0.027707,0.401741,5.2864972915824
"ADAMTS19",1.74261,1.74261,0.691824,0.172356,0.296478,0.386886,1.97753095784369
"ADAMTS2",4.02459,4.02459,1.05629,1.019052,1.068975,1.04810566666667,2.45328650849232
"ADAMTS20",0.06224,0.06224,1.283844,0.25905,0.359154,0.634016,0.650079313788849
"ADAMTS3",0.66385,0.66385,6.587764,4.025588,2.784121,4.46582433333333,0.304409709959577
"ADAMTS4",36.36652,36.36652,25.829682,6.699742,10.583665,14.3710296666667,2.43097052118976
"ADAMTS5",0.12447,0.12447,2.810816,3.243508,4.167592,3.40730533333333,0.255137757644202
"ADAMTS6",0.91279,0.91279,1.385549,0.272905,0.54382,0.734091333333333,1.10305031991779
"ADAMTS7",5.06186,5.06186,30.711528,21.35642,27.594435,26.5541276666667,0.219998254828923
"ADAMTS8",6.43105,6.43105,1.292831,3.322689,5.300198,3.30523933333333,1.72604806020076
"ADAMTS9",7.2816,7.2816,11.33945,7.446555,7.577687,8.78789733333333,0.846106136789611
"ADAMTSL1",7.07415,7.07415,5.919842,5.793045,6.199496,5.97079433333333,1.15828263091777
"ADAMTSL2",11.47216,11.47216,0.70847,0.709747,0.641205,0.686474,7.39540603649982
"ADAMTSL3",10.72532,10.72532,1.068124,0.941684,1.198236,1.069348,5.66619051024767
"ADAMTSL4",1.95006,1.95006,1.307851,0.581012,0.686961,0.858608,1.58724163459966
"ADAMTSL5",0.95428,0.95428,5.943779,4.096958,2.883372,4.30803633333333,0.36817381744875
"ADAP1",176.12766,176.12766,34.213031,38.13869,48.991537,40.4477526666667,4.27351662283129
"ADAP2",7.26086,7.26086,1.058876,0.353861,4.97029,2.12767566666667,2.64121375756459
"ADAR",64.9743,64.9743,105.908597,112.956385,96.851585,105.238855666667,0.620999723556887
"ADARB1",10.43489,10.43489,68.1759,68.438509,91.97377,76.1960596666667,0.148127897322428
