"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Spinal_cord","dHs_Avg__TPM","FoldChange"
"TAS2R15",1.57664,1.57664,1.9862,1.9862,0.862849105887081
"TAS2R16",0,0,0,0,1
"TAS2R18",0,0,0.68275,0.68275,0.594265339474075
"TAS2R19",0.82981,0.82981,0.31034,0.31034,1.39643909214402
"TAS2R20",0.76758,0.76758,0.83793,0.83793,0.961723242996197
"TAS2R2P",0,0,0,0,1
"TAS2R3",0,0,0,0,1
"TAS2R30",0.29043,0.29043,0.40345,0.40345,0.919469877801133
"TAS2R31",0.26969,0.26969,0.21724,0.21724,1.04308928395386
"TAS2R38",0,0,0,0,1
"TAS2R39",0,0,0,0,1
"TAS2R4",0.56012,0.56012,0,0,1.56012
"TAS2R40",0,0,0,0,1
"TAS2R41",0,0,0,0,1
"TAS2R42",0,0,0,0,1
"TAS2R43",0.26969,0.26969,0,0,1.26969
"TAS2R46",0,0,0,0,1
"TAS2R5",1.68037,1.68037,0.24827,0.24827,2.14726781866103
"TAS2R50",0,0,0,0,1
"TAS2R60",0,0,0,0,1
"TAS2R62P",0,0,0,0,1
"TAS2R63P",0,0,0,0,1
"TAS2R64P",0.10373,0.10373,0.65172,0.65172,0.66823069285351
"TAS2R67P",0,0,0.40345,0.40345,0.712529837186932
"TAS2R7",0,0,0,0,1
"TAS2R8",0,0,0,0,1
"TAS2R9",0,0,0,0,1
"TASP1",12.11526,12.11526,9.18615,9.18615,1.28755810585943
"TAT",0.12447,0.12447,0.68275,0.68275,0.668233546278413
"TATDN1",18.11065,18.11065,29.88604,29.88604,0.618747175099171
"TATDN2",14.23128,14.23128,12.87924,12.87924,1.09741455584023
"TATDN2P1",0,0,0,0,1
"TATDN2P2",0.12447,0.12447,0.15517,0.15517,0.973423825064709
"TATDN2P3",0,0,0,0,1
"TATDN3",36.34578,36.34578,30.22741,30.22741,1.1959294734978
"TAX1BP1",76.61242,76.61242,70.04443,70.04443,1.09244904913728
"TAX1BP3",57.56823,57.56823,93.66154,93.66154,0.61871199221986
"TAZ",62.04921,62.04921,50.0273,50.0273,1.23559761147464
"TBATA",0,0,0.27931,0.27931,0.781671369722741
"TBC1D1",36.15907,36.15907,34.23084,34.23084,1.05473130927335
"TBC1D10A",7.44757,7.44757,6.29996,6.29996,1.15720771072718
"TBC1D10B",77.6082,77.6082,53.44108,53.44108,1.44391330958166
"TBC1D10C",6.32732,6.32732,12.28959,12.28959,0.551357867323221
"TBC1D12",39.31236,39.31236,90.30983,90.30983,0.441489815499602
"TBC1D13",33.56591,33.56591,14.58612,14.58612,2.21773667853192
"TBC1D14",32.48715,32.48715,20.73092,20.73092,1.54099090144366
"TBC1D15",15.476,15.476,24.79641,24.79641,0.638693523633715
"TBC1D16",19.39686,19.39686,25.01365,25.01365,0.784082971824408
"TBC1D17",84.45415,84.45415,62.96861,62.96861,1.33587629932869
"TBC1D19",4.31502,4.31502,6.54824,6.54824,0.704140302905048
