"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","FoldChange"
"ADA",4.03446,4.03446,2.752245,0.680643,2.280619,1.90450233333333,1.7333296455721
"ADAD1",0.40345,0.40345,0,0,0,0,1.40345
"ADAD2",1.14827,1.14827,0,0.231674,0.001766,0.0778133333333333,1.99317445197684
"ADAL",8.5965,8.5965,12.105016,15.600091,15.33191,14.3456723333333,0.62535546123677
"ADAM10",30.755,30.755,70.311374,70.683677,76.336447,72.4438326666667,0.432371226378173
"ADAM11",4.84135,4.84135,21.676701,61.251494,63.202393,48.710196,0.11750808626866
"ADAM12",0.55862,0.55862,253.498386,167.661955,151.796176,190.985505666667,0.00811842537064304
"ADAM15",204.26781,204.26781,30.979275,23.526472,41.074168,31.8599716666667,6.24674336552228
"ADAM17",13.22061,13.22061,14.349408,16.247264,14.244751,14.947141,0.891734135918156
"ADAM18",0,0,0,0,0,0,1
"ADAM19",3.28964,3.28964,16.94927,22.701045,23.52762,21.0593116666667,0.194459376830057
"ADAM2",0,0,0,0,0,0,1
"ADAM20",0.37241,0.37241,0.060308,0.079075,0.087706,0.0756963333333333,1.27583404114358
"ADAM21",0.15517,0.15517,0.188727,0.221899,0.309121,0.239915666666667,0.931652072036082
"ADAM21P1",0.18621,0.18621,0.012879,0,0,0.004293,1.18113936869021
"ADAM22",11.63787,11.63787,13.135,11.196035,9.8092,11.3800783333333,1.02082310464648
"ADAM23",6.54824,6.54824,48.84821,52.745915,47.205046,49.5997236666667,0.149175518224668
"ADAM28",14.02751,14.02751,1.502507,0.416905,0.03323,0.650880666666667,9.10272335452472
"ADAM29",0.52758,0.52758,0.184234,0.673702,0.264276,0.374070666666667,1.11171865978751
"ADAM30",0.06207,0.06207,0,0,0,0,1.06207
"ADAM32",1.70689,1.70689,0.985926,0.562709,0.705876,0.751503666666667,1.54546636214102
"ADAM33",5.2448,5.2448,1.225579,0.212729,0.396698,0.611668666666667,3.87474183072368
"ADAM3A",0.68275,0.68275,0.341385,0,0.42368,0.255021666666667,1.34081350521173
"ADAM3B",0,0,0,0,0,0,1
"ADAM5",0,0,0,0,0,0,1
"ADAM6",0,0,0,0,0,0,1
"ADAM7",0,0,0.297177,0.021595,0.063257,0.127343,0.887041477172431
"ADAM8",11.35856,11.35856,5.896302,4.237317,5.824988,5.31953566666667,1.9556120341542
"ADAM9",17.25507,17.25507,31.044422,15.040139,19.545192,21.8765843333333,0.797980578481756
"ADAMDEC1",0.40345,0.40345,0,0,0,0,1.40345
"ADAMTS1",29.29639,29.29639,53.416922,36.50485,34.398098,41.4399566666667,0.713864772246469
"ADAMTS10",7.94478,7.94478,30.984806,32.271974,30.357747,31.2048423333333,0.277746430409994
"ADAMTS12",21.87919,21.87919,3.104435,1.18569,1.477975,1.9227,7.82810072877819
"ADAMTS13",6.54824,6.54824,8.251614,7.895253,8.511647,8.21950466666667,0.818725112997755
"ADAMTS14",1.73792,1.73792,1.91118,0.569069,0.357461,0.945903333333333,1.40701747774384
"ADAMTS15",0.68275,0.68275,3.856279,2.752015,3.081575,3.22995633333333,0.397817345474567
"ADAMTS16",0.43448,0.43448,38.568071,1.033011,1.581908,13.7276633333333,0.0974003796483669
"ADAMTS17",2.1724,2.1724,0.604486,0.821092,0.902747,0.776108333333333,1.78615230865234
"ADAMTS18",2.35861,2.35861,0.836196,0.34132,0.027707,0.401741,2.39602751150177
"ADAMTS19",0.52758,0.52758,0.691824,0.172356,0.296478,0.386886,1.10144597320905
"ADAMTS2",2.57585,2.57585,1.05629,1.019052,1.068975,1.04810566666667,1.74593042644121
"ADAMTS20",0,0,1.283844,0.25905,0.359154,0.634016,0.611989111489728
"ADAMTS3",0.03103,0.03103,6.587764,4.025588,2.784121,4.46582433333333,0.188632114228821
"ADAMTS4",39.75495,39.75495,25.829682,6.699742,10.583665,14.3710296666667,2.65141313781864
"ADAMTS5",0.46551,0.46551,2.810816,3.243508,4.167592,3.40730533333333,0.332518373282662
"ADAMTS6",0.24827,0.24827,1.385549,0.272905,0.54382,0.734091333333333,0.719840977234186
"ADAMTS7",2.35861,2.35861,30.711528,21.35642,27.594435,26.5541276666667,0.121891356555738
"ADAMTS8",1.45861,1.45861,1.292831,3.322689,5.300198,3.30523933333333,0.571073942617824
"ADAMTS9",3.69308,3.69308,11.33945,7.446555,7.577687,8.78789733333333,0.479477853125554
"ADAMTSL1",3.87929,3.87929,5.919842,5.793045,6.199496,5.97079433333333,0.699961836008837
"ADAMTSL2",6.5172,6.5172,0.70847,0.709747,0.641205,0.686474,4.45734710407632
"ADAMTSL3",5.95859,5.95859,1.068124,0.941684,1.198236,1.069348,3.36269684944243
"ADAMTSL4",4.2517,4.2517,1.307851,0.581012,0.686961,0.858608,2.82560927317648
"ADAMTSL5",3.28964,3.28964,5.943779,4.096958,2.883372,4.30803633333333,0.808140662689511
"ADAP1",155.45084,155.45084,34.213031,38.13869,48.991537,40.4477526666667,3.77465193971353
"ADAP2",12.04131,12.04131,1.058876,0.353861,4.97029,2.12767566666667,4.16964909085309
"ADAR",49.18938,49.18938,105.908597,112.956385,96.851585,105.238855666667,0.472420186428527
"ADARB1",7.44823,7.44823,68.1759,68.438509,91.97377,76.1960596666667,0.109438616899354
"ADARB2",53.87556,53.87556,1.417302,0.902524,0.536378,0.952068,28.1115002141319
"ADAT1",18.15507,18.15507,38.849966,55.207581,52.832268,48.9632716666667,0.383383020387343
"ADAT2",2.51378,2.51378,3.889025,2.159954,2.429168,2.826049,0.918383428962881
"ADAT3",10.39649,10.39649,0.789433,1.103201,1.650664,1.18109933333333,5.22511277951883
"ADCK1",10.45856,10.45856,6.371801,4.972601,7.045702,6.13003466666667,1.60708335031938
"ADCK2",21.75505,21.75505,11.198469,11.32432,12.399282,11.6406903333333,1.80014298269733
"ADCK5",6.70341,6.70341,7.056568,12.014195,5.892048,8.320937,0.826463047652827
