"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","FoldChange"
"ADAMTSL2",6.5172,6.5172,0.864767,0.719934,0.473671,0.686124,4.45827234533166
"ADAMTSL3",5.95859,5.95859,0.184832,0.214714,0.105793,0.168446333333333,5.95542114471667
"ADAMTSL4",4.2517,4.2517,12.635359,12.932216,10.354914,11.974163,0.404781410561899
"ADAMTSL5",3.28964,3.28964,42.692522,31.619021,21.507695,31.939746,0.130226869387517
"ADAP1",155.45084,155.45084,2.559191,2.013888,2.267124,2.28006766666667,47.6974428271449
"ADAP2",12.04131,12.04131,3.159636,0.302603,0.075168,1.17913566666667,5.98462509677002
"ADAR",49.18938,49.18938,31.090188,13.016808,8.388818,17.4986046666667,2.71314409407528
"ADARB1",7.44823,7.44823,19.742685,2.826503,2.675535,8.41490766666667,0.897324785235104
"ADARB2",53.87556,53.87556,0.115823,0.022508,0.083771,0.074034,51.0929449160827
"ADAT1",18.15507,18.15507,12.085066,7.251189,8.024499,9.12025133333333,1.89274647131623
"ADAT2",2.51378,2.51378,0.527551,0.654778,0.610782,0.597703666666667,2.19926890906553
"ADAT3",10.39649,10.39649,0.613159,0.450686,0.803128,0.622324333333333,7.02479138470667
"ADCK1",10.45856,10.45856,6.62267,6.828834,4.626745,6.026083,1.63086032430872
"ADCK2",21.75505,21.75505,8.450675,6.860918,7.832185,7.71459266666667,2.61114327087692
"ADCK5",6.70341,6.70341,4.110263,2.199273,1.452022,2.587186,2.14747994667687
"ADCY1",3.81722,3.81722,0.4447,0.546407,0.45112,0.480742333333333,3.25324662607291
"ADCY10",0.52758,0.52758,0.095948,0.039473,0.019977,0.0517993333333333,1.45234927574905
"ADCY10P1",4.37584,4.37584,2.288528,3.3026,2.270997,2.62070833333333,1.48474815010875
