"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"HFE",217,3.42671,217,3.67805,343,5.69443,4.26639666667,"Hfe",6.295823,9.079834,9.678073,346,420,286,8.35124333333333,0.563176091022834
"HFM1",56339,68.3066,58748,76.4517,47046,59.9673,68.2418666667,"Hfm1",0,0,0,0,0,0,0,69.2418666667
"HGD",10,0.0322931,18,0.0623911,20,0.0679012,0.0541951333333,"Hgd",0.080924,0,0,1,0,0,0.0269746666666667,1.02650548991144
"HGF",431,1.05413,354,0.929308,555,1.42708,1.13683933333,"Hgf",0.223416,0.120599,0.086351,12,9,5,0.143455333333333,1.86875627848165
"HGFAC",20,0.459191,20,0.492871,5,0.12069,0.357584,"Hgfac",0.057136,0.086809,0,2,2,0,0.0479816666666667,1.29542724188877
"HGH1",234,13.2812,243,14.8036,176,10.502,12.8622666667,"Hgh1",0.478247,0.657158,0.454558,29,35,18,0.529987666666667,9.06037804664221
"HGS",2120,18.6929,1850,17.5086,1739,16.1205,17.4406666667,"Hgs",2.619334,3.67731,2.473312,208,203,149,2.92331866666667,4.7002724564221
"HGSNAT",1980,5.54405,2128,6.39549,2548,7.50066,6.48006666667,"Hgsnat",4.251033,4.211584,3.791105,197,178,157,4.084574,1.47112947253202
"HHAT",297,0.149077,389,0.209578,338,0.178365,0.179006666667,"Hhat",0.244715,0.94932,0.677937,23,26,20,0.623990666666667,0.725993499141826
"HHATL",235,4.03998,184,3.39523,148,2.67492,3.37004333333,"Hhatl",14.627204,13.106802,18.286466,711,701,694,15.3401573333333,0.267441937319371
"HHIP",39,0.0687403,89,0.168375,52,0.0963581,0.1111578,"Hhip",0,0,0,0,0,0,0,1.1111578
"HHIPL1",137,0.674951,93,0.491785,121,0.626723,0.597819666667,"Hhipl1",0.248293,0.337116,0.222195,38,53,22,0.269201333333333,1.25891741893353
"HHIPL2",10,0.0675897,6,0.0435283,10,0.0710589,0.0607256333333,"Hhipl2",0.013232,0.042513,0.01844,1,3,1,0.0247283333333333,1.03512862758744
"HHLA1",3,0.0105507,8,0.030199,4,0.0147897,0.0185131333333,"Hhla1",0,0,0,0,0,0,0,1.0185131333333
