"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"ACAD10",12.856185,11.636386,10.582543,11.6917046666667,221,279,250,"Acad12",17.801517,18.65883,21.112006,1100,1042,881,19.1907843333333,0.628588986794025
"ACAD10",12.856185,11.636386,10.582543,11.6917046666667,221,279,250,"Acad10",0.598761,1.056781,1.076999,53,41,50,0.910847,6.64192615456218
"ACAD11",18.399625,10.629317,9.67092,12.899954,358,253,310,"Acad11",20.220395,25.148927,24.795126,1888,1884,1652,23.3881493333333,0.569947059533614
"ACAD8",23.137744,24.865645,22.47821,23.4938663333333,569,801,726,"Acad8",12.259437,10.062579,9.130213,439,390,308,10.4840763333333,2.13285471311595
"ACAD9",17.669058,19.626573,12.870046,16.7218923333333,447,569,481,"Acad9",14.866479,14.620374,16.037408,450,448,379,15.1747536666667,1.09565145154915
"ACADL",0.160831,0.314712,0.317482,0.264341666666667,8,12,13,"Acadl",202.319337,208.242625,216.801061,9518,8357,7420,209.121007666667,0.00601720732594431
"ACADM",31.655912,30.807253,30.544017,31.002394,568,773,686,"Acadm",734.222656,649.816797,808.160715,11829,9984,9558,730.733389333333,0.0437350467622595
"ACADS",3.004861,4.19166,2.473391,3.223304,78,146,97,"Acads",43.777134,43.427381,54.486167,1956,1744,1558,47.2302273333333,0.0875655005897339
"ACADSB",3.572105,3.466148,3.181139,3.406464,336,406,350,"Acadsb",128.314701,142.932978,153.196559,1614,1467,1364,141.481412666667,0.0309265883705748
"ACADVL",223.022625,188.605112,238.198574,216.608770333333,1342,1537,1988,"Acadvl",139.431027,132.111617,154.831617,9440,8497,7659,142.124753666667,1.52041323920905
"ACAN",0.292759,0.315011,0.284229,0.297333,25,26,39,"Acan",0.015363,0.024935,0.010729,4,3,2,0.017009,1.27563571217167
"ACAP1",11.286318,12.913279,6.490646,10.230081,45,54,54,"Acap1",0.252565,0.107747,0.114382,16,5,7,0.158231333333333,9.6958877529935
"ACAP2",11.321554,4.989484,5.03907,7.11670266666667,561,490,425,"Acap2",2.510354,3.088726,3.307991,345,341,264,2.96902366666667,2.04501241321228
"ACAP3",201.068487,222.065102,155.227804,192.787131,2075,3473,3111,"Acap3",1.933753,2.709172,2.375971,133,146,103,2.339632,58.0264924398856
"ACAT1",109.114332,109.952951,112.925312,110.664198333333,760,1074,1157,"Acat1",93.491079,94.716414,110.493341,5260,5078,4190,99.5669446666667,1.11034693062864
"ACAT2",119.603573,70.690947,60.766009,83.686843,2428,1983,1817,"Acat2",0.66719,0.447738,1.304108,34,26,33,0.806345333333333,46.8829749424067
"ACAT2",119.603573,70.690947,60.766009,83.686843,2428,1983,1817,"Acat3",0.106014,0.029888,0,4,2,0,0.0453006666666667,81.0167310713154
"ACBD3",65.899098,64.268898,51.033552,60.400516,1039,1267,1242,"Acbd3",2.402008,2.812018,2.585089,261,286,201,2.599705,17.0570966231955
"ACBD4",3.64765,3.399864,4.113433,3.72031566666667,75,106,119,"Acbd4",7.598094,6.460876,8.388294,99,80,69,7.48242133333333,0.556482103537732
"ACBD5",28.434973,21.567845,22.642447,24.2150883333333,1235,1449,1480,"Acbd5",2.76439,3.148991,3.874531,318,223,239,3.26263733333333,5.91537265817907
"ACBD6",45.008644,45.056697,44.61445,44.8932636666667,636,975,991,"Acbd6",7.456026,9.740249,9.378408,138,215,119,8.85822766666667,4.65532600974962
"ACBD7",1.034596,0.949647,0.691054,0.891765666666667,40,52,53,"Acbd7",0.204416,0.219119,0.143098,2,2,1,0.188877666666667,1.59121978628023
"ACCS",5.273883,5.411674,5.203006,5.29618766666667,72,100,76,"Accs",0.560678,1.577455,1.883585,37,56,40,1.34057266666667,2.69002016315665
"ACCSL",0,0,0,0,0,0,0,"Accsl",0,0,0,0,0,0,0,1
"ACD",12.408905,8.62736,10.509139,10.5151346666667,165,217,228,"Acd",1.489058,1.256628,1.749415,61,49,54,1.498367,4.60906450760303
"ACE",5.405634,2.557996,4.848241,4.27062366666667,108,104,195,"Ace",5.44445,6.520775,5.744452,634,788,585,5.90322566666667,0.763501574650343
