"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"ACRBP","Acrbp",4.10962,2.495291,4.514207,43,31,95,3.70637266666667,3.9261,2.45936,2.16299,2.84948333333333,1.22259853053873
"ACRV1","Acrv1",0.089446,0.045734,0.046779,4,2,4,0.060653,5.84774,3.01203,4.1075,4.32242333333333,0.199280089833766
"ACSBG1","Acsbg1",60.868711,58.496547,48.444874,1528,1492,2526,55.9367106666667,88.3125,109.42775,56.1067,84.61565,0.6650269041544
"ACSBG2","Acsbg2",0.061179,0.028799,0.035622,2,1,2,0.0418666666666667,0.59637,0.77373,0.10924,0.493113333333333,0.697781369576768
"ACSF2","Acsf2",11.545947,8.756051,7.874134,174,149,316,9.392044,51.30441,52.55848,47.82616,50.5630166666667,0.201540652037103
"ACSF3","Acsf3",3.915831,4.53771,4.775548,115,130,272,4.40969633333333,61.67463,58.77597,55.18907,58.5465566666667,0.0908481805860927
"ACSL1","Acsl1",26.783503,29.664263,24.04514,610,606,1123,26.8309686666667,34.42382,22.99088,27.48529,28.2999966666667,0.949862519893347
"ACSL3","Acsl3",137.743645,126.020907,116.28694,2455,1981,3863,126.683830666667,44.29706,41.69861,41.796,42.5972233333333,2.92871474154279
"ACSL4","Acsl4",42.27799,43.593616,27.973049,1208,1128,2020,37.9482183333333,16.20139,7.04648,11.47041,11.57276,3.09782564316294
"ACSL5","Acsl5",75.63154,74.775796,56.525036,748,800,1379,68.9774573333333,9.19404,8.12418,3.23356,6.85059333333333,8.91365204668182
"ACSL6","Acsl6",86.180562,74.263679,74.021711,2873,2800,5045,78.1553173333333,35.4509,34.34816,47.73876,39.1792733333333,1.97005348196939
"ACSM1","Acsm1",0,0,0,0,0,0,0,0.84486,0,0,0.28162,0.780262480298372
"ACSM2B","Acsm2",0.031119,0.061456,0.038353,3,3,7,0.0436426666666667,0.0994,0.46977,0,0.189723333333333,0.877214590507037
"ACSM3","Acsm3",0.282797,5.148762,2.552905,4,5,7,2.661488,0.59637,0.22107,1.02687,0.61477,2.26749815763236
"ACSM4","Acsm4",0,0,0.018442,0,0,1,0.00614733333333333,0.16566,0,0.10924,0.0916333333333333,0.921689822590003
"ACSM5","Acsm5",0.163657,0.030481,0.29587,6,1,12,0.163336,7.48776,8.98081,5.4621,7.31022333333333,0.139988536208614
"ACSS1","Acss1",6.028145,10.007418,9.563296,250,241,508,8.532953,57.94731,78.25742,61.83098,66.0119033333333,0.142257606869944
"ACSS2","Acss2",18.71586,17.12475,17.603764,521,478,980,17.8147913333333,43.78352,30.83873,37.47001,37.3640866666667,0.490427192932001
"ACSS3","Acss3",0.270661,0.365425,0.567388,7,19,39,0.401158,12.72257,14.9496,21.32404,16.33207,0.0808419305945568
"ACTA1","Acta1",2.92908,4.247516,2.921494,52,74,99,3.36603,40.80167,32.41383,12.49729,28.57093,0.147646015867611
"ACTA2","Acta2",9.888823,10.858859,14.812093,171,196,448,11.8532583333333,30.26579,39.46031,26.13069,31.9522633333333,0.390056919711838
"ACTB","Actb",1338.442156,1336.811776,1222.922158,6581,7424,12805,1299.39203,3995.79691,3014.15431,4181.63155,3730.52759,0.34848785078928
"ACTBL2","Actbl2",0.026725,0,0,1,0,0,0.00890833333333333,0,0,0,0,1.00890833333333
"ACTC1","Actc1",0.054823,0,0.057199,1,0,2,0.0373406666666667,12.0765,11.13621,6.51082,9.90784333333333,0.0951004369027425
