"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"ACD",13.137008,9.048602,13.611827,11.932479,198,130,153,"Acd",11.708988,8.977386,15.558951,321,353,126,12.081775,0.988587481438872
"ACE",6.841322,8.479831,10.149919,8.49035733333333,209,183,161,"Ace",6.85104,5.450423,6.464917,583,638,164,6.25546,1.30802972290294
"ACE2",0,0.095415,0.225191,0.106868666666667,0,0,1,"Ace2",0.703129,0.439627,0.086061,42,48,2,0.409605666666667,0.785232844079089
"ACER1",0,0,0,0,0,0,0,"Acer1",0.021691,0.013217,0,1,1,0,0.011636,0.988497839143724
"ACER2",2.060095,1.631226,2.154176,1.948499,103,62,73,"Acer2",3.578901,3.612412,3.507171,293,419,95,3.56616133333333,0.645728169628114
"ACER3",7.649808,4.8069,3.760922,5.40587666666667,518,375,350,"Acer3",5.33321,5.297838,3.312498,588,759,160,4.64784866666667,1.13421535255961
"ACHE",52.081818,67.700639,62.028934,60.603797,1662,1679,1380,"Ache",133.05904,101.056948,116.214608,3230,4242,1133,116.776865333333,0.523055158800909
"ACIN1",122.816081,100.430979,109.79734,111.0148,3076,1982,1940,"Acin1",66.142631,56.196921,48.187616,1860,2205,484,56.8423893333333,1.93655209079422
"ACKR1",2.616941,4.886551,6.520383,4.674625,86,122,141,"Ackr1",114.430787,96.035182,148.031874,588,717,265,119.499281,0.0470926046438402
"ACKR2",0.123068,0.277159,0.172717,0.190981333333333,7,9,4,"Ackr2",0.032776,0.296782,0.051631,2,4,1,0.127063,1.0567122985435
"ACKR3",2.012493,0.697493,1.28327,1.33108533333333,52,13,22,"Ackr3",1.888017,2.183048,2.652716,122,214,54,2.24126033333333,0.719191022504517
"ACKR4",0.105038,0.101865,0.037545,0.0814826666666667,4,3,1,"Ackr4",0.090908,0.281831,0.055977,4,16,1,0.142905333333333,0.946257432811583
"ACLY",200.668971,184.300449,184.729433,189.899617666667,7551,5465,5135,"Acly",104.42968,115.808562,122.784102,7508,12430,2500,114.340781333333,1.65509211451385
"ACMSD",0.185122,0.039662,0.088863,0.104549,6,1,2,"Acmsd",0.250152,0.082175,0.159311,10,6,2,0.163879333333333,0.949023638762094
"ACO1",9.64322,6.563351,6.68116,7.62924366666667,860,462,416,"Aco1",9.548868,11.643803,10.725997,688,969,232,10.639556,0.741372236764587
"ACO2",71.653142,76.994982,73.567485,74.0718696666667,2492,1993,1982,"Aco2",275.677282,225.355992,267.756615,9127,11839,3130,256.263296333333,0.291809483655985
"ACOD1",0,0,0,0,0,0,0,"Acod1",0.108795,0.012087,0,6,1,0,0.040294,0.961266718831407
