"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg__TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"ABO",0.94183,1.656334,1.424069,1.34074433333333,43,107,83,0.081458,0.061784,0.056364,0.0665353333333333,8,5,5,2.19471803715832
"ABR",475.702567,515.55903,441.250144,477.503913666667,3442,4631,4703,198.031654,211.438013,200.361185,203.276950666667,1298,1199,1252,2.34242733751923
"ABRA",0.023562,0,0.016861,0.0134743333333333,1,0,1,0,0,0,0,0,0,0,1.01347433333333
"ABRACL",17.048097,16.217016,13.732567,15.6658933333333,152,196,170,16.160065,20.958007,19.636272,18.9181146666667,132,135,145,0.836720423204713
"ABRAXAS1",2.109371,2.159075,1.935205,2.06788366666667,56,86,86,3.82892,6.035163,5.406464,5.09018233333333,107,132,131,0.503742498787803
"ABRAXAS2",10.186842,8.464947,8.190416,8.94740166666667,471,532,542,5.545332,5.945653,7.320012,6.27033233333333,243,210,286,1.36821828915019
"ABT1",3.263841,4.270345,3.155402,3.563196,152,271,212,4.559478,4.690372,4.720066,4.65663866666667,202,168,186,0.806697452126457
"ABTB1",3.761994,3.647191,4.428543,3.94590933333333,98,109,136,6.145615,3.499741,5.352266,4.99920733333333,109,78,105,0.824427138207481
"ABTB2",1.172037,1.371578,1.223632,1.255749,92,149,130,1.812701,1.607969,1.602889,1.67451966666667,139,98,106,0.843422102336382
"ACAA1",39.895704,46.043135,40.381622,42.1068203333333,585,998,977,38.003127,38.829187,39.570663,38.8009923333333,550,465,521,1.08305893411686
"ACAA2",13.144815,9.897038,9.823666,10.955173,271,275,335,13.362606,16.013843,12.490575,13.9556746666667,285,274,234,0.799373700381822
"ACACA",100.200507,77.444775,45.429501,74.358261,3946,4127,3502,42.363631,48.905645,32.241697,41.1703243333333,1667,1457,1400,1.78699742511663
"ACACB",5.011705,4.261474,2.549066,3.94074833333333,60,56,49,3.811888,6.196471,2.56891,4.192423,69,75,51,0.951530399840948
"ACAD10",12.856185,11.636386,10.582543,11.6917046666667,221,279,250,21.73928,19.257871,23.277153,21.424768,392,285,343,0.565968159254386
"ACAD11",18.399625,10.629317,9.67092,12.899954,358,253,310,13.192374,11.007639,9.386726,11.1955796666667,340,270,275,1.13975345001368
"ACAD8",23.137744,24.865645,22.47821,23.4938663333333,569,801,726,26.483493,20.192299,24.101738,23.59251,534,375,468,0.995988873577091
"ACAD9",17.669058,19.626573,12.870046,16.7218923333333,447,569,481,19.252462,17.316786,16.985834,17.851694,406,304,324,0.940068957905498
"ACADL",0.160831,0.314712,0.317482,0.264341666666667,8,12,13,0.207989,0.400506,0.246715,0.28507,5,7,5,0.983869879980598
"ACADM",31.655912,30.807253,30.544017,31.002394,568,773,686,27.650351,25.508799,28.982212,27.380454,462,377,403,1.12762093235013
"ACADS",3.004861,4.19166,2.473391,3.223304,78,146,97,4.599063,3.579749,4.281652,4.153488,112,71,98,0.819503994188014
"ACADSB",3.572105,3.466148,3.181139,3.406464,336,406,350,2.345294,3.480124,2.567987,2.79780166666667,193,175,184,1.16026701411913
"ACADVL",223.022625,188.605112,238.198574,216.608770333333,1342,1537,1988,487.069067,525.545782,529.790065,514.134971333333,2890,2306,2580,0.422430590899493
"ACAN",0.292759,0.315011,0.284229,0.297333,25,26,39,13.521626,21.358045,13.180758,16.020143,1180,1435,924,0.0762233901325036
"ACAP1",11.286318,12.913279,6.490646,10.230081,45,54,54,8.203837,7.799579,5.089685,7.03103366666667,31,27,34,1.39833568954034
"ACAP2",11.321554,4.989484,5.03907,7.11670266666667,561,490,425,4.317336,5.926497,4.813944,5.019259,442,447,434,1.34845546049217
"ACAP3",201.068487,222.065102,155.227804,192.787131,2075,3473,3111,268.243739,185.674788,241.306196,231.741574333333,3432,1616,2456,0.832627911687395
"ACAT1",109.114332,109.952951,112.925312,110.664198333333,760,1074,1157,56.259875,44.471839,63.751794,54.827836,369,255,375,2.00015272548507
"ACAT2",119.603573,70.690947,60.766009,83.686843,2428,1983,1817,25.297509,32.783013,27.509826,28.530116,501,530,488,2.86781274411519
"ACBD3",65.899098,64.268898,51.033552,60.400516,1039,1267,1242,54.125804,44.820301,37.958539,45.6348813333333,793,793,708,1.31662211298719
"ACBD3.AS1",0.205463,0.151175,0,0.118879333333333,1,1,0,0,1.337289,0,0.445763,0,5,0,0.773902315478632
"ACBD4",3.64765,3.399864,4.113433,3.72031566666667,75,106,119,3.937219,4.63266,2.073499,3.54779266666667,64,68,45,1.03793554646071
"ACBD5",28.434973,21.567845,22.642447,24.2150883333333,1235,1449,1480,7.912379,6.095147,7.392269,7.133265,308,226,288,3.10024182580222
"ACBD6",45.008644,45.056697,44.61445,44.8932636666667,636,975,991,24.856558,25.060157,20.197148,23.3712876666667,434,305,343,1.88308735649763
"ACBD7",1.034596,0.949647,0.691054,0.891765666666667,40,52,53,0.811197,0.918754,0.914356,0.881435666666667,39,38,35,1.00549048802625
"ACCS",5.273883,5.411674,5.203006,5.29618766666667,72,100,76,23.189882,13.116107,20.465664,18.9238843333333,320,206,258,0.316012056752053
"ACCSL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACD",12.408905,8.62736,10.509139,10.5151346666667,165,217,228,8.520872,12.288536,11.733328,10.8475786666667,141,109,166,0.971939920438314
"ACE",5.405634,2.557996,4.848241,4.27062366666667,108,104,195,1.303784,1.277742,1.252099,1.277875,41,16,21,2.31383358027401
"ACE2",0.05341,0,0.099057,0.0508223333333333,1,0,1,0,0.275135,0.093605,0.122913333333333,0,1,2,0.935800032059464
"ACE3P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACER1",0.145606,0.072291,0.066789,0.0948953333333333,3,2,2,0.050862,0,0,0.016954,1,0,0,1.0766419457845
"ACER2",0.989215,1.238033,0.764366,0.997204666666667,43,73,48,0.79589,1.105758,0.950331,0.950659666666667,33,37,35,1.02386115876356
"ACER3",5.100368,4.487993,5.453281,5.01388066666667,507,602,712,2.862275,3.818158,3.438456,3.372963,324,261,332,1.37524160773065
"ACHE",150.826048,123.139185,143.64468,139.203304333333,4252,4881,6215,23.639298,15.646921,24.253111,21.1797766666667,666,324,578,6.32122254612422
"ACIN1",80.771096,83.773455,54.064282,72.869611,1809,2688,1954,177.532807,182.921232,142.933279,167.795772666667,3282,2682,2593,0.437627138600655
"ACKR1",5.527193,8.511619,6.913666,6.98415933333333,150,313,243,7.550579,5.560224,10.119254,7.74335233333333,197,125,214,0.91316911739841
"ACKR2",0.648149,0.227417,0.267559,0.381041666666667,15,14,12,0.359601,0.085355,0.268785,0.237913666666667,6,3,9,1.11562034078305
"ACKR3",1.953183,0.627658,0.254604,0.945148333333333,33,11,7,0.58853,1.270426,0.550161,0.803039,17,15,14,1.07881656100247
"ACKR4",0.058436,0.043248,0,0.0338946666666667,2,2,0,0,0,0,0,0,0,0,1.03389466666667
"ACLY",258.665498,200.768091,176.389823,211.941137333333,8902,9754,9291,146.457605,153.677986,123.036365,141.057318666667,4402,3834,3894,1.49898040686657
