"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg__TPM","FoldChange"
"POMGNT1",54.660711,65.546359,45.330965,1141,1556,1261,0,104.315852,95.984089,85.650262,2463,1802,1555,3.79399333333333,0.208594366005237
"POMGNT2",12.020979,10.283729,10.893866,478,563,632,0,3.332168,3.241864,2.805395,183,169,145,0,1
"POMK",30.803079,40.551997,27.986554,1751,2069,1783,0,11.29964,3.281276,2.778712,331,289,234,0,1
"POMP",42.216976,41.996754,44.102645,730,975,1032,0,42.135912,55.99361,39.219877,634,964,689,0,1
"POMT1",54.178502,51.825098,47.269152,868,1199,1033,0,17.22071,12.514042,15.578614,440,377,305,0,1
"POMT2",39.319733,41.62507,28.598724,582,733,620,0,24.740686,15.75649,18.89099,349,309,272,0,1
"POMZP3",14.826502,15.867249,9.980819,194,302,282,3.33135666666667,7.722582,8.116348,5.277302,133,114,96,7.518717,0.508451761769603
"PON1",0,0.14437,0.018968,0,3,1,0,0,0.323749,0,0,3,0,0,1
"PON2",25.406107,8.751294,8.047868,351,178,148,0,36.06892,30.402677,27.342738,462,550,382,0,1
"PON3",0,0,0,0,0,0,0,0.151514,0,0,1,0,0,0,1
"POP1",4.425187,4.903625,2.033827,135,263,167,0,1.172198,1.230455,0.884267,96,69,60,0,1
"POP4",24.955957,24.866848,28.730198,174,247,271,0,24.043848,26.437298,22.778195,216,218,193,0,1
"POP5",14.867396,17.258998,12.226591,107,150,127,0,15.600817,13.326799,12.572135,184,160,146,0,1
"POP7",23.854117,26.301901,28.499998,211,326,368,0,12.798898,11.546896,10.867461,161,159,133,0,1
"POPDC2",6.291639,4.80288,2.1432,16,17,17,0,3206.21907,3068.36775,2718.475333,12151,10496,8840,0,1
"POPDC3",3.65661,1.860517,1.754582,72,42,39,3.54535,36.456872,44.262226,30.943854,764,844,552,0,4.54535
"POR",114.57577,97.277582,86.120658,772,998,1008,0,56.59664,28.991531,33.720039,521,395,397,0,1
"PORCN",12.555904,13.806109,14.340953,208,352,356,0,6.140102,4.69159,5.32579,143,123,110,0,1
"POSTN",22.001443,0.094981,1.447468,574,6,41,0,0.783532,2.01892,2.223412,46,50,36,0,1
"POT1",8.41704,6.91212,4.708532,214,238,189,0,2.645847,3.096764,1.095309,65,73,30,0,1
"POT1.AS1",1.568842,1.63436,1.409806,53,46,60,0,1.072189,0.861176,0.394302,28,29,14,0,1
"POTEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"POTEB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"POTEB2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"POTEB3",0.093556,0.016272,0.026085,9,2,4,0,0.016084,0,0.032985,2,0,4,0,1
"POTEC",0,0.012717,0.015006,0,2,2,0,0,0,0,0,0,0,0,1
"POTED",0.099144,0,0,3,0,0,0,0,0,0,0,0,0,0,1
"POTEE",0.301813,0.143806,0.003591,11,7,0,0,0,0,0,0,0,0,0,1
"POTEF",0.109607,0,0.145177,8,0,5,0,0.099697,0.020102,0,9,2,0,0,1
"POTEG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"POTEH",0.18609,0.134698,0.095187,6,5,4,0,0.053313,0.026108,0,0,1,0,0,1
"POTEI",0.167522,0.017008,0.066411,20,3,11,0,0.030595,0.027481,0,5,4,0,0,1
"POTEJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"POTEM",0.085154,0.070513,0.012435,10,11,2,0,0.021102,0.182192,0.02452,3,1,3,0,1
"POU1F1",0.147722,0.035839,0.068829,2,1,2,0,0,0,0,0,0,0,0,1
"POU2AF1",0.279802,0.230886,0.15032,11,11,10,6.87670666666667,0.292347,0.125383,0.116185,15,6,7,3.79399333333333,1.64303663334256
"POU2F1",3.000317,4.206714,3.554398,574,1221,992,0,1.58444,0.908275,0.546335,270,188,142,0,1
"POU2F2",7.656351,1.15331,1.883111,65,75,125,0,1.41869,1.358656,1.087462,105,101,82,0,1
"POU2F3",0.043546,0.248987,0.817383,2,6,22,0,0.013816,0,0.017401,1,0,1,0,1
"POU3F1",24.321685,73.750524,66.924619,909,3861,4261,0,0,0,0,0,0,0,3.62734433333333,0.216106675441558
"POU3F2",6.018087,10.722984,7.173248,449,1097,800,0,0,0,0.010935,0,0,1,0,1
