"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg__TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"ACAD10",21.73928,19.257871,23.277153,21.424768,392,285,343,11.611479,11.630295,14.269463,12.5037456666667,185,171,157,1.66063317197646
"ACAD11",13.192374,11.007639,9.386726,11.1955796666667,340,270,275,6.956361,6.78533,9.702243,7.81464466666667,123,171,123,1.38355885323265
"ACAD8",26.483493,20.192299,24.101738,23.59251,534,375,468,28.56967,26.216904,35.090426,29.959,521,559,449,0.794357375884234
"ACAD9",19.252462,17.316786,16.985834,17.851694,406,304,324,16.730664,15.138342,15.036653,15.6352196666667,348,375,288,1.13323985963195
"ACADL",0.207989,0.400506,0.246715,0.28507,5,7,5,0.288112,0.704497,0.707281,0.56663,9,17,9,0.820276644772537
"ACADM",27.650351,25.508799,28.982212,27.380454,462,377,403,34.991444,30.116255,36.311604,33.8064343333333,538,526,442,0.815379528055268
"ACADS",4.599063,3.579749,4.281652,4.153488,112,71,98,1.771714,2.673468,3.757556,2.734246,38,59,46,1.38006119575411
"ACADSB",2.345294,3.480124,2.567987,2.79780166666667,193,175,184,5.696079,5.142362,5.947202,5.59521433333333,415,396,308,0.575842038593338
"ACADVL",487.069067,525.545782,529.790065,514.134971333333,2890,2306,2580,236.028354,256.563668,245.533457,246.041826333333,1257,1410,953,2.08521358095152
"ACAN",13.521626,21.358045,13.180758,16.020143,1180,1435,924,0.108891,0.370897,0.103268,0.194352,8,10,6,14.2505249708629
"ACAP1",8.203837,7.799579,5.089685,7.03103366666667,31,27,34,9.140538,8.118628,5.692809,7.65065833333333,23,41,22,0.928372541974166
"ACAP2",4.317336,5.926497,4.813944,5.019259,442,447,434,19.442193,11.477702,6.945933,12.6219426666667,361,356,272,0.441879631069753
"ACAP3",268.243739,185.674788,241.306196,231.741574333333,3432,1616,2456,237.983872,241.790025,300.03488,259.936259,2282,2631,2345,0.891947999964747
"ACAT1",56.259875,44.471839,63.751794,54.827836,369,255,375,122.137156,118.34408,129.991315,123.490850333333,655,741,527,0.44844931053581
"ACAT2",25.297509,32.783013,27.509826,28.530116,501,530,488,150.038137,113.788996,97.188096,120.338409666667,2596,2136,1199,0.243369894834812
"ACBD3",54.125804,44.820301,37.958539,45.6348813333333,793,793,708,55.57853,50.960754,31.733687,46.0909903333333,687,749,476,0.990314304354794
"ACBD3.AS1",0,1.337289,0,0.445763,0,5,0,0.246714,0.456368,0.347351,0.350144333333333,1,2,1,1.07082107024113
"ACBD4",3.937219,4.63266,2.073499,3.54779266666667,64,68,45,2.513592,3.070246,3.546908,3.043582,36,57,47,1.1246940625086
"ACBD5",7.912379,6.095147,7.392269,7.133265,308,226,288,22.086031,24.008406,24.78825,23.6275623333333,786,939,654,0.33025050916191
"ACBD6",24.856558,25.060157,20.197148,23.3712876666667,434,305,343,44.648742,40.179244,47.697377,44.175121,561,617,466,0.539484723608525
"ACBD7",0.811197,0.918754,0.914356,0.881435666666667,39,38,35,1.043718,2.012931,2.647439,1.90136266666667,46,68,57,0.648466214955547
"ACCS",23.189882,13.116107,20.465664,18.9238843333333,320,206,258,2.852259,6.929111,6.720408,5.50059266666667,40,71,38,3.06493351529281
"ACCSL",0,0,0,0,0,0,0,0,0.041683,0,0.0138943333333333,0,1,0,0.986296073588208
"ACD",8.520872,12.288536,11.733328,10.8475786666667,141,109,166,10.823814,17.900748,15.750557,14.8250396666667,143,186,143,0.748660282452373
"ACE",1.303784,1.277742,1.252099,1.277875,41,16,21,7.650195,4.932748,4.196313,5.59308533333333,104,116,46,0.345494542362969
"ACE2",0,0.275135,0.093605,0.122913333333333,0,1,2,0.257103,0.077158,0.190801,0.175020666666667,1,1,1,0.955654113317723
"ACE3P",0,0,0,0,0,0,0,0,0.036847,0,0.0122823333333333,0,1,0,0.987866691999959
"ACER1",0.050862,0,0,0.016954,1,0,0,0.061841,0,0.249022,0.103621,1,0,3,0.921470323598409
"ACER2",0.79589,1.105758,0.950331,0.950659666666667,33,37,35,1.702671,1.924675,1.809561,1.81230233333333,61,75,46,0.69361662988581
"ACER3",2.862275,3.818158,3.438456,3.372963,324,261,332,5.618697,5.605735,6.031901,5.752111,410,489,347,0.647643825760566
"ACHE",23.639298,15.646921,24.253111,21.1797766666667,666,324,578,123.812487,148.175891,116.216143,129.401507,2791,3847,1730,0.170088346192707
"ACIN1",177.532807,182.921232,142.933279,167.795772666667,3282,2682,2593,89.895784,89.267185,92.097629,90.4201993333333,1572,1683,1229,1.84637283551755
"ACKR1",7.550579,5.560224,10.119254,7.74335233333333,197,125,214,9.846748,12.019005,14.314649,12.060134,231,292,219,0.66946880738998
"ACKR2",0.359601,0.085355,0.268785,0.237913666666667,6,3,9,0.432002,0.122803,0.473199,0.342668,14,5,6,0.921980464766172
"ACKR3",0.58853,1.270426,0.550161,0.803039,17,15,14,0,0.074184,0.633304,0.235829333333333,0,2,7,1.45897087192191
"ACKR4",0,0,0,0,0,0,0,0.106321,0,0,0.0354403333333333,3,0,0,0.96577269380724
"ACLY",146.457605,153.677986,123.036365,141.057318666667,4402,3834,3894,254.093676,248.408509,244.338036,248.946740333333,6921,7108,4396,0.568350355268553
