"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg__TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"CREB3L4",7.435009,2.999462,3.67974,4.704737,123,33,45,2.391648,1.328907,3.833473,2.51800933333333,24,18,25,1.62158097363395
"CREB5",7.622956,5.883248,6.629244,6.711816,686,523,431,1.784897,2.463713,3.327218,2.525276,115,223,130,2.1875779371601
"CREBBP",38.21702,32.673124,26.697896,32.5293466666667,1404,1021,880,36.764453,35.0401,37.427414,36.4106556666667,1030,1152,911,0.896251243640771
"CREBL2",10.04289,11.609101,13.095351,11.5824473333333,678,602,620,11.52919,12.917981,14.040434,12.8292016666667,572,669,498,0.909846254079984
"CREBRF",2.354613,1.449663,1.508187,1.770821,218,115,106,0.694353,1.042954,0.646542,0.794616333333333,67,87,47,1.54396287860228
"CREBZF",30.649109,21.822603,27.558549,26.6767536666667,1316,666,753,20.980849,24.940969,28.358851,24.760223,642,725,638,1.07439883834339
"CREG1",4.513535,6.001527,7.478881,5.997981,146,148,167,9.433643,12.072832,11.180802,10.895759,220,308,184,0.588275283653611
"CREG2",6.141132,4.140979,4.884499,5.05553666666667,470,134,123,10.774549,12.728978,10.411907,11.3051446666667,543,783,345,0.492114219759681
"CRELD1",78.734544,88.392698,75.361708,80.82965,1053,842,754,78.449358,64.495493,66.573976,69.839609,701,807,526,1.15513977498097
"CRELD1.1",0.679292,0,1.079076,0.586122666666667,21,0,22,1.3e-05,1.364809,1.941702,1.10217466666667,0,33,31,0.754515165565056
"CRELD2",14.236354,22.136032,21.847431,19.4066056666667,300,311,310,13.67239,13.655998,15.156838,14.161742,208,249,184,1.3459275106163
"CREM",20.463681,19.121859,22.658404,20.7479813333333,277,176,169,15.591373,24.104699,17.2543,18.9834573333333,150,253,114,1.08829923524078
"CRH",0.309275,2.532897,4.177891,2.340021,6,37,54,1.882562,0.328657,0.108818,0.773345666666667,25,5,1,1.88345738948808
"CRHBP",0.890054,0.646476,3.889999,1.808843,9,13,27,2.132127,4.489558,4.30245,3.64137833333333,26,43,22,0.605174325011931
"CRHR1",12.264198,17.893174,11.322166,13.8265126666667,21,47,55,8.268802,29.902586,20.179548,19.450312,48,67,57,0.725001783183878
"CRHR1.1",1.511727,1.875329,0,1.12901866666667,30,25,0,0,0,1.769443,0.589814333333333,0,0,5,1.33916182665355
"CRHR2",0.941094,0.916709,0.971401,0.943068,30,24,18,0.538087,0.800905,1.606749,0.981913666666667,13,28,37,0.98039991987542
"CRIM1",23.582511,15.284497,16.899547,18.5888516666667,760,617,509,29.113302,25.359685,44.59827,33.0237523333333,878,1168,911,0.57574048490458
"CRIP1",7.702865,2.169522,1.605384,3.82592366666667,63,15,12,0.45221,0.75559,0.114474,0.440758,2,5,1,3.34957270177689
"CRIP1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CRIP1P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CRIP2",75.657562,62.418447,86.911564,74.9958576666667,1240,796,936,73.580133,81.082707,101.748209,85.4703496666667,812,1054,793,0.878866084844366
"CRIP3",2.923643,2.660364,2.434623,2.67287666666667,24,19,13,5.274914,3.927587,12.887296,7.36326566666667,33,26,56,0.439167762098673
"CRIPT",4.605769,5.831679,5.967025,5.46815766666667,278,302,285,3.469455,4.019518,4.654771,4.04791466666667,233,258,201,1.28135241853005
"CRISP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CRISP2",0.091448,0,0.065892,0.0524466666666667,2,0,1,0,0,0,0,0,0,0,1.05244666666667
"CRISP3",0,0.072195,0,0.024065,0,2,0,0,0,0,0,0,0,0,1.024065
"CRISPLD1",21.617732,13.04703,16.604007,17.0895896666667,660,290,378,4.092054,4.290527,7.067125,5.149902,94,119,117,2.94144356555058
"CRISPLD2",2.540678,3.465594,4.235537,3.41393633333333,165,188,200,0.712169,0.599661,0.796417,0.702749,35,33,16,2.59224133053864
"CRK",20.370865,24.560295,28.674642,24.5352673333333,1303,974,1161,26.263331,24.916962,27.374681,26.1849913333333,1057,1124,878,0.939314896967535
"CRKL",13.656442,9.987075,13.627793,12.42377,1344,745,902,10.486236,10.516852,12.026829,11.0099723333333,731,806,592,1.11771864475847
"CRLF1",91.635655,56.073337,54.177936,67.2956426666667,714,348,304,13.059296,3.432239,43.38191,19.957815,74,30,155,3.25871960730003
"CRLF2",4.849674,6.543299,8.898071,6.76368133333333,117,123,137,5.545786,5.888991,3.357026,4.930601,103,116,42,1.30908846056805
"CRLF3",9.436295,9.985085,9.838942,9.75344066666667,183,167,159,7.39248,7.372928,11.409663,8.72502366666667,127,127,115,1.10574956270029
"CRLS1",19.884225,17.881547,24.849801,20.8718576666667,253,266,290,21.323722,19.529176,21.008496,20.6204646666667,304,291,204,1.01162754843043
"CRMP1",117.726449,169.052296,196.910811,161.229852,6306,6877,6991,266.688732,253.333452,314.298529,278.106904333333,10076,10539,8426,0.58124628764558
"CRNDE",14.219165,2.603916,8.811697,8.544926,510,44,133,43.317017,47.996393,58.103159,49.805523,835,900,706,0.187871818581614
"CRNKL1",8.423102,7.567439,7.930884,7.97380833333333,348,250,271,6.787005,6.123658,5.610762,6.17380833333333,209,235,173,1.2509127532215
"CRNN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CROCC",21.078265,12.046355,19.023952,17.3828573333333,531,268,282,13.668448,14.753185,25.46158,17.961071,232,319,261,0.969505221162525
"CROCC2",0.009962,0,0,0.00332066666666667,1,0,0,0,0,0,0,0,0,0,1.00332066666667
"CROCCP1",0,0,0,0,0,0,0,0,0,0.019917,0.006639,0,0,1,0.993404785628214
"CROCCP2",24.478293,22.940217,26.112136,24.5102153333333,768,579,559,22.327579,23.641245,26.389631,24.119485,470,591,435,1.01555487038581
"CROCCP3",26.313253,46.326234,7.468667,26.702718,336,233,257,32.793847,27.513354,16.235269,25.5141566666667,185,228,186,1.04482742363922
"CROCCP4",0.164218,0,0,0.0547393333333333,1,0,0,0.223271,0,0,0.0744236666666667,1,0,0,0.981679170010837
"CROT",5.827167,8.327184,7.700554,7.28496833333333,209,168,204,5.662805,5.512017,7.939172,6.37133133333333,168,179,139,1.12394463885628
"CRP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CRPP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CRPPA",1.629556,0.792342,1.22316,1.21501933333333,110,49,52,1.211639,1.117001,1.172059,1.16689966666667,67,68,44,1.02220668884992
"CRPPA.AS1",0.269909,0,0.420145,0.230018,3,0,1,0.633411,0.276059,0,0.303156666666667,3,2,0,0.943875768326653
"CRTAC1",5.429106,6.247632,8.228435,6.63505766666667,142,169,166,21.325331,11.486915,18.911721,17.2413223333333,303,293,320,0.418558343915382
"CRTAM",0.094082,0.38642,0.424617,0.301706333333333,3,9,5,0.25153,0.374973,0.120255,0.248919333333333,6,10,2,1.04226614048732
"CRTAP",69.2336,51.868671,59.44698,60.1830836666667,1643,1078,1155,16.337079,17.580196,19.699215,17.8721633333333,436,489,366,3.24197510301327
"CRTC1",7.534469,7.982537,9.895589,8.470865,728,625,654,8.329091,8.538144,13.728282,10.1985056666667,539,680,672,0.845725785377853
"CRTC1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CRTC2",47.00743,92.891157,72.638181,70.8455893333333,379,281,253,29.780386,60.169196,50.218038,46.72254,170,191,155,1.50548544426456
"CRTC3",9.911554,10.830859,7.133144,9.29185233333333,506,375,345,6.964224,8.627103,9.3059,8.29907566666667,371,405,323,1.10676079023912
"CRTC3.AS1",0.123099,0.689599,1.18917,0.667289333333333,1,3,4,0.855123,0.997847,0.489349,0.780773,3,5,2,0.936272805873255
"CRX",0.116522,0.147554,0.273903,0.179326333333333,6,7,5,0.092348,0.142613,0.075811,0.103590666666667,2,4,3,1.06862659222683
"CRY1",12.367451,9.105475,10.419655,10.6308603333333,328,236,212,13.61629,9.79723,8.901963,10.7718276666667,237,240,174,0.988025025737295
"CRY2",10.549206,10.52176,12.438525,11.1698303333333,537,479,499,14.667856,14.693224,14.95335,14.7714766666667,562,598,427,0.771635439759076
"CRYAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CRYAA2",0,0,0,0,0,0,0,0,0,0.202729,0.0675763333333333,0,0,1,0.936701169533857
"CRYAB",43.29557,29.659914,38.855613,37.2703656666667,393,209,212,0.65981,0.907485,1.130784,0.899359666666667,8,7,11,20.1490883155534
"CRYBA1",0,0.176879,0.200469,0.125782666666667,0,1,1,0,0,0,0,0,0,0,1.12578266666667
"CRYBA2",0,0.962721,0,0.320907,0,3,0,0,0,0.523956,0.174652,0,0,1,1.12450921634663
"CRYBA4",0.250019,0.115427,0,0.121815333333333,2,1,0,0,0.161881,0,0.0539603333333333,0,1,0,1.0643809808149
"CRYBB1",0,0.970341,0,0.323447,0,2,0,0.088369,0,0,0.0294563333333333,1,0,0,1.28557856914119
"CRYBB2",0.216319,0,0,0.0721063333333333,2,0,0,0.466746,0.137706,0.205058,0.269836666666667,3,1,1,0.844286798039643
"CRYBB2P1",15.758867,19.243393,18.765707,17.9226556666667,320,266,238,16.535767,16.064663,22.21382,18.2714166666667,206,207,169,0.981902679702669
"CRYBB3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CRYBG1",0.06333,0.111263,0.18702,0.120537666666667,12,16,9,0.163424,0.285244,0.146269,0.198312333333333,22,28,14,0.935096498214016
"CRYBG2",0.201605,0,0.35509,0.185565,1,0,3,0.883936,2.298473,1.002102,1.394837,6,12,9,0.495050393826386
"CRYBG3",4.987088,2.423526,3.840053,3.75022233333333,397,103,114,0.862023,1.792818,1.818963,1.491268,17,28,26,1.9067488256315
"CRYGA",0,0,0,0,0,0,0,0.37307,0.170519,0,0.181196333333333,2,1,0,0.846599309344284
"CRYGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CRYGC",0,0,0.197053,0.0656843333333333,0,0,1,0,0,0.2599,0.0866333333333333,0,0,1,0.980721187766496
"CRYGD",0.251419,0,0,0.0838063333333333,2,0,0,0,0.162825,0,0.054275,0,1,0,1.02801103443915
