"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"ACER1",0,0,0,0,0,0,0,"Acer1",0.030558,0,0,1,0,0,0.010186,0.989916708408154
"ACER2",0.086941,0.071304,0.036141,0.0647953333333333,5,4,2,"Acer2",3.118334,2.54008,2.402802,132,184,153,2.687072,0.288791575899069
"ACER3",5.889447,3.785697,2.608854,4.094666,373,369,276,"Acer3",3.481609,5.184627,5.45389,351,403,381,4.70670866666667,0.892750322047863
"ACHE",0.074404,0.220625,0.154447,0.149825333333333,5,9,7,"Ache",33.834013,47.679276,42.808478,660,1514,1703,41.440589,0.0270925866116828
"ACIN1",48.187336,30.018075,26.134553,34.779988,1665,1167,1053,"Acin1",45.807958,21.09828,21.753088,1080,1089,980,29.5531086666667,1.17107520515697
"ACKR1",0,0,0,0,0,0,0,"Ackr1",101.103231,14.233693,28.400341,431,187,207,47.9124216666667,0.0204447043496415
"ACKR2",2.083034,1.740608,0.931254,1.58496533333333,43,37,20,"Ackr2",0.649428,0.359553,0.708918,12,16,18,0.572633,1.64371810418154
"ACKR3",4.479841,2.665596,2.943872,3.363103,125,78,87,"Ackr3",3.231514,3.181414,3.449357,127,255,243,3.28742833333333,1.01765036305758
"ACKR4",0,0,0,0,0,0,0,"Ackr4",0.132857,0.125531,0.088747,4,6,5,0.115711666666667,0.896288915744361
"ACLY",20.336467,13.559479,13.590368,15.8287713333333,1109,844,693,"Acly",44.180974,41.640376,34.502339,2485,3516,3246,40.1078963333333,0.409380504340898
"ACMSD",0.044606,0.168465,0.027939,0.0803366666666667,1,1,1,"Acmsd",0.102752,0.079444,0,3,4,0,0.060732,1.01848220537013
"ACO1",8.895559,7.661565,6.460032,7.67238533333333,708,594,504,"Aco1",7.262014,5.414308,4.996443,412,554,518,5.89092166666667,1.25852327930008
"ACO2",146.738618,107.939366,96.620982,117.099655333333,7447,5908,4897,"Aco2",263.104087,251.75769,261.873345,6115,11826,11858,258.911707333333,0.454383746484617
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0.073883,0.014681,0,5,1,0.0295213333333333,0.971325185425978
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot3",0.889756,0.635427,0.487761,33,39,32,0.670981333333333,4.36476669198778
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot2",2.118218,1.538339,1.968624,59,81,106,1.87506033333333,2.53679673504823
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot1",10.961634,13.839671,14.384726,95,194,228,13.0620103333333,0.51866294319084
