"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","FoldChange"
"RAP1A","Rap1a",26.912009,31.540241,29.633131,400,446,727,29.3617936666667,24.027236,19.064271,25.731744,619,436,510,0.142541,26.5739204690831
"RAP1B","Rap1b",21.338443,29.345703,21.055507,721,670,1203,23.9132176666667,82.13443,106.617972,75.241543,1223,1315,1242,0,24.9132176666667
"RAP1GAP","Rap1gap",111.241153,118.95214,133.756528,2459,2520,5264,121.316607,9.72882,8.302495,8.914792,389,331,339,0,122.316607
"RAP1GAP2","Rap1gap2",34.982953,38.272941,34.812243,2734,2864,5255,36.0227123333333,9.993457,4.068438,12.901454,480,245,429,0,37.0227123333333
"RAP2A","Rap2a",21.473724,22.600225,20.739292,1217,1266,2279,21.6044136666667,10.995206,12.27778,10.521483,885,769,742,0.374272333333333,16.4482782039562
"RAP2B","Rap2b",7.186932,7.269653,7.153298,665,675,1311,7.20329433333333,2.206554,2.781261,2.222896,287,291,256,0.0244836666666667,8.00724755332035
"RAP2C","Rap2c",10.019383,9.927059,8.99427,492,461,813,9.646904,22.798246,20.583148,21.910745,408,421,355,0,10.646904
"RAPGEF2","Rapgef2",19.097475,23.745466,18.851927,1736,1734,3283,20.564956,9.971312,23.136807,8.077018,623,646,482,0.173621333333333,18.3747137066356
"RAPGEF3","Rapgef3",32.447182,29.846303,33.510401,374,314,602,31.9346286666667,0.643512,0.792766,0.693916,34,39,27,22.62734,1.39392029177498
"RAPGEF4","Rapgef4",283.273642,304.590027,302.844053,8030,7808,14628,296.902574,26.960243,19.204693,24.991872,754,518,643,0.040962,286.180066131136
