"Hs_symbol","DRG","dHs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","FoldChange"
"ACTR8",13.86191,13.86191,23.771453,22.759294,31.53109,26.0206123333333,0.550021214051687
"ACTRT1",0,0,0,0,0.167548,0.0558493333333333,0.947104826825039
"ACTRT2",0,0,0,0,0,0,1
"ACTRT3",2.62394,2.62394,1.443018,1.511988,0.769716,1.241574,1.61669434067312
"ACVR1",8.99038,8.99038,6.034686,8.207685,6.259893,6.834088,1.27524480194759
"ACVR1B",13.88282,13.88282,55.209179,56.089019,59.415097,56.9044316666667,0.25702385070757
"ACVR1C",0.08363,0.08363,0.137088,0.073565,0.237864,0.149505666666667,0.942692177536025
"ACVR2A",5.34196,5.34196,25.003915,23.782342,23.796881,24.1943793333333,0.251721223852865
"ACVR2B",1.01403,1.01403,6.214092,4.560656,8.131002,6.30191666666667,0.27582210150303
"ACVRL1",15.74362,15.74362,2.000151,0.803904,0.719904,1.174653,7.69944446309365
"ACY1",23.16591,23.16591,10.842162,5.437314,8.266339,8.18193833333333,2.63189635158735
"ACY3",3.93068,3.93068,0,0,0,0,4.93068
"ACYP1",33.84983,33.84983,24.106168,34.772803,28.12398,29.0009836666667,1.16162291167542
"ACYP2",88.38798,88.38798,20.955971,15.854271,16.292319,17.7008536666667,4.77988767749836
"ADA",1.589,1.589,0.922875,1.829261,0.70398,1.15203866666667,1.20304529844259
"ADAD1",0.01045,0.01045,0,0,0,0,1.01045
"ADAD2",0.99312,0.99312,0,0.258936,0.627989,0.295641666666667,1.53832656920316
"ADAL",6.65915,6.65915,9.378484,7.193559,10.742324,9.104789,0.757972284230774
"ADAM10",13.71556,13.71556,34.061006,24.686719,34.283331,31.010352,0.459712532995576
"ADAM11",52.30101,52.30101,23.644833,33.066844,44.802479,33.838052,1.52996528049272
"ADAM12",0.11499,0.11499,8.973317,5.716452,10.949544,8.54643766666667,0.11679644689801
"ADAM15",99.64686,99.64686,18.903104,21.508581,19.628954,20.0135463333333,4.78961801132758
"ADAM17",9.50262,9.50262,9.86407,13.149275,14.571838,12.5283943333333,0.776338990512868
"ADAM18",0.01045,0.01045,0,0,0,0,1.01045
"ADAM19",6.81596,6.81596,18.28921,16.943459,15.284239,16.8389693333333,0.438139662328773
"ADAM2",0,0,0,0,0,0,1
"ADAM20",0.14636,0.14636,0.055566,0.051316,0.039092,0.048658,1.09316860215628
"ADAM21",0.53315,0.53315,0.175871,0.28972,0.247976,0.237855666666667,1.23855312156748
"ADAM21P1",0.09409,0.09409,0,0.045823,0,0.0152743333333333,1.07762992137101
"ADAM22",19.30841,19.30841,14.849654,14.25824,14.463086,14.52366,1.30822306079881
"ADAM23",51.57969,51.57969,30.45531,32.68447,48.390528,37.1767693333333,1.37726923776368
"ADAM28",7.84045,7.84045,0.264589,0.406801,0.059004,0.243464666666667,7.1095305214409
"ADAM29",0.09409,0.09409,0.651684,0.674166,0.788744,0.704864666666667,0.641745952855691
"ADAM30",0,0,0,0,0,0,1
"ADAM32",0.71087,0.71087,0.915902,4.743727,0.839031,2.16622,0.540350954766251
"ADAM33",24.57719,24.57719,0.541507,0.630154,0.831368,0.667676333333333,15.3370228315686
"ADAM3A",0.02091,0.02091,0,0.22629,0.585903,0.270731,0.803403710147938
"ADAM3B",0,0,0,0,0,0,1
"ADAM5",0.02091,0.02091,0,0,0.408493,0.136164333333333,0.898558395161733
"ADAM6",0,0,0,0,0,0,1
"ADAM7",0.01045,0.01045,0.067906,0.02098,0.122618,0.0705013333333333,0.943903541767346
"ADAM8",4.00386,4.00386,2.265081,4.232185,7.470717,4.65599433333333,0.884700320597917
"ADAM9",19.93565,19.93565,10.682031,11.502737,12.462503,11.5490903333333,1.6683002069393
"ADAMDEC1",0.22999,0.22999,0,0,0.059317,0.0197723333333333,1.20614176301442
"ADAMTS1",18.81707,18.81707,14.234685,4.588657,3.552739,7.45869366666667,2.3428050217841
"ADAMTS10",5.1956,5.1956,40.162073,43.284464,61.364231,48.270256,0.125747266261413
"ADAMTS12",0.86768,0.86768,0.710176,1.783791,0.892537,1.12883466666667,0.877325059218627
"ADAMTS13",5.32105,5.32105,7.587088,8.243445,8.27368,8.03473766666667,0.699638465798656
"ADAMTS14",1.474,1.474,0.211393,0.27945,0.297526,0.262789666666667,1.95915445406717
"ADAMTS15",1.43219,1.43219,0.56087,0.968467,0.586154,0.705163666666667,1.42636747870341
"ADAMTS16",3.16754,3.16754,0.24045,0.264744,0.214627,0.239940333333333,3.36108108427798
"ADAMTS17",0.44952,0.44952,3.07163,1.239608,0.531282,1.61417333333333,0.554485037972488
"ADAMTS18",0.07318,0.07318,1.411995,0.853451,1.538275,1.267907,0.473202825336312
"ADAMTS19",0.08363,0.08363,0.147189,0.945675,0.829666,0.640843333333333,0.660410398717733
"ADAMTS2",7.24457,7.24457,0.175824,2.047144,0.477721,0.900229666666667,4.33872291577386
"ADAMTS20",0.01045,0.01045,0.016112,0.074527,0.040071,0.04357,0.968262790229693
"ADAMTS3",1.26493,1.26493,3.556929,2.233924,2.107003,2.63261866666667,0.623497869672714
"ADAMTS4",2.04897,2.04897,0.176331,0.196548,0.19162,0.188166333333333,2.56611377924359
"ADAMTS5",0.43907,0.43907,0.116874,0.274268,0.109096,0.166746,1.23340469990898
"ADAMTS6",0.20908,0.20908,0.860627,0.362985,0.694859,0.639490333333333,0.737473088689554
"ADAMTS7",2.4044,2.4044,2.369279,2.937719,5.177745,3.49491433333333,0.757389295443005
"ADAMTS8",19.88338,19.88338,0.211062,0.449382,0.148566,0.26967,16.4478801578363
"ADAMTS9",10.33894,10.33894,2.512999,1.057654,1.747753,1.772802,4.08934355933096
"ADAMTSL1",3.7216,3.7216,1.119975,1.214395,1.457011,1.26379366666667,2.08570245138654
"ADAMTSL2",11.72931,11.72931,1.004098,1.776381,1.365861,1.38211333333333,5.34370460963234
"ADAMTSL3",0.77359,0.77359,1.089258,0.855606,0.779536,0.908133333333333,0.929489553490322
"ADAMTSL4",19.39204,19.39204,0.631448,0.521852,1.128889,0.760729666666667,11.5815848315916
"ADAMTSL5",10.03577,10.03577,5.476837,2.295622,2.572993,3.448484,2.48079345682709
"ADAP1",105.65787,105.65787,57.062331,75.582106,67.987821,66.8774193333333,1.57133065822999
"ADAP2",12.90015,12.90015,1.320459,15.044578,8.125916,8.163651,1.51687902561981
"ADAR",37.63415,37.63415,90.499122,99.654405,78.045495,89.399674,0.427370457110277
"ADARB1",13.57966,13.57966,54.505339,78.157127,58.321949,63.6614716666667,0.225476773482035
"ADARB2",8.26906,8.26906,2.242743,3.617584,1.425322,2.42854966666667,2.70349299300414
"ADAT1",29.59508,29.59508,50.081633,51.644642,49.027029,50.2511013333333,0.596964342307727
"ADAT2",3.40798,3.40798,0.865768,0.88184,1.068114,0.938574,2.27382601850639
"ADAT3",3.73205,3.73205,0.355735,0.817905,0.128549,0.434063,3.29975042937444
"ADCK1",7.49547,7.49547,7.036778,5.592912,6.381342,6.33701066666667,1.15789255133517
"ADCK2",40.61352,40.61352,17.806512,18.725946,17.522527,18.0183283333333,2.18807453897324
