"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Spinal_cord","dHs_Avg_TPM","FoldChange"
"POLR2C","Polr2c",27.847777,25.22247,27.568346,1070,223,368,26.879531,32.67912,32.67912,0.827798677637658
"POLR2D","Polr2d",12.312529,13.280959,11.549153,425,95,149,12.3808803333333,10.36546,10.36546,1.17732853165057
"POLR2E","Polr2e",24.796567,23.221146,24.033579,1002,210,368,24.0170973333333,199.8299,199.8299,0.124568589305344
"POLR2F","Polr2f",48.888564,39.600854,50.194053,465,89,178,46.2278236666667,128.85444,128.85444,0.363698181338017
"POLR2G","Polr2g",91.745933,78.424543,83.624338,1458,304,534,84.5982713333333,92.04775,92.04775,0.919939185346592
"POLR2H","Polr2h",24.162362,25.489345,23.021975,477,121,179,24.2245606666667,60.73414,60.73414,0.408599855228674
"POLR2I","Polr2i",38.199956,39.086695,34.615594,240,59,113,37.3007483333333,245.54343,245.54343,0.155350918632605
"POLR2J","Polr2j",40.400068,35.854995,39.809903,625,119,226,38.688322,45.09285,45.09285,0.861051594770122
"POLR2K","Polr2k",19.498,23.506178,23.632563,248,74,110,22.212247,42.95148,42.95148,0.528133455346669
"POLR2L","Polr2l",10.793066,8.822604,10.522261,682,135,260,10.045977,208.36434,208.36434,0.0527595912465322
"POLR2M","Polr2m",52.265269,45.864208,81.481426,4074,792,1512,59.870301,21.97229,21.97229,2.64972717130073
"POLR3B","Polr3b",13.856224,13.278637,13.619349,1711,380,622,13.5847366666667,1.76896,1.76896,5.26722548056551
"POLR3C","Polr3c",11.852187,7.76328,9.253527,721,143,270,9.622998,5.61721,5.61721,1.60535905615811
"POLR3D","Polr3d",15.227765,13.834911,14.287049,603,155,248,14.4499083333333,9.80684,9.80684,1.42964162820337
"POLR3E","Polr3e",7.553489,6.746457,8.158958,1135,232,448,7.48630133333333,21.19643,21.19643,0.382327308190251
"POLR3F","Polr3f",7.209897,7.420307,6.353537,811,220,323,6.99458033333333,6.2379,6.2379,1.10454418178385
"POLR3G","Polr3g",53.587445,52.230351,57.082243,4215,1081,1753,54.300013,7.35513,7.35513,6.61868971518097
