"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"MRGPRX4","Mrgprx1",13.216004,13.580907,13.99245,547,137,227,13.5964536666667,0,0,14.5964536666667
"MRI1","Mri1",8.682291,7.073585,6.912569,409,101,170,7.55614833333333,33.06802,33.06802,0.251148975882171
"MRM1","Mrm1",75.095764,107.27175,24.297642,791,164,332,68.8883853333333,6.78372,6.78372,8.97878974749006
"MRO","Mro",0.681937,1.406081,1.011508,42,14,20,1.03317533333333,19.79102,19.79102,0.0977910335006812
"MRPL1","Mrpl1",4.666154,4.450676,4.876481,531,123,226,4.664437,50.90898,50.90898,0.109122487091829
"MRPL10","Mrpl10",24.905721,20.199069,23.227705,1529,307,557,22.7774983333333,45.68117,45.68117,0.509359519766393
"MRPL11","Mrpl11",67.962838,81.737433,48.15672,1051,266,367,65.9523303333333,15.12333,15.12333,4.15251255995711
"MRPL12","Mrpl12",32.020625,28.141994,31.228779,1324,257,486,30.4637993333333,51.53134,51.53134,0.598952917122109
"MRPL13","Mrpl13",35.732814,31.668974,36.276903,1005,215,388,34.5595636666667,20.35115,20.35115,1.66546362451983
"MRPL14","Mrpl14",29.52587,22.789083,25.250666,412,72,130,25.8552063333333,24.91511,24.91511,1.03627599239723
"MRPL15","Mrpl15",39.905418,32.304993,40.654084,995,199,381,37.6214983333333,17.63351,17.63351,2.07269045570767
"MRPL16","Mrpl16",14.705206,15.093356,12.142682,597,148,196,13.9804146666667,27.48753,27.48753,0.525858671027873
"MRPL17","Mrpl17",74.59665,65.374014,69.365083,1085,221,408,69.7785823333333,52.54786,52.54786,1.32178171701602
"MRPL18","Mrpl18",261.89138,269.214503,250.757013,1009,233,380,260.620965333333,109.12032,109.12032,2.3757737476002
"MRPL19","Mrpl19",23.782596,24.826145,27.507544,1057,249,388,25.372095,13.98234,13.98234,1.76021202295503
"MRPL2","Mrpl2",199.054225,141.282845,203.969392,652,162,270,181.435487333333,84.91054,84.91054,2.12355186375657
"MRPL20","Mrpl20",105.950774,99.101458,99.298463,1320,309,470,101.450231666667,98.47797,98.47797,1.02987859187986
"MRPL21","Mrpl21",31.538207,30.611312,27.914345,633,135,220,30.021288,102.5648,102.5648,0.299535054381411
"MRPL22","Mrpl22",27.175184,28.906762,28.781003,531,115,201,28.2876496666667,37.34155,37.34155,0.763861911338135
"MRPL23","Mrpl23",1.104528,0.929061,1.752811,36,13,16,1.26213333333333,91.96395,91.96395,0.0243334468181842
"MRPL24","Mrpl24",30.228741,31.091745,29.947477,1014,279,406,30.4226543333333,58.10761,58.10761,0.531617744878085
"MRPL27","Mrpl27",64.494975,80.610513,59.54405,1269,303,473,68.2165126666667,54.89208,54.89208,1.23839572022846
"MRPL28","Mrpl28",35.944779,30.390497,32.47819,1271,254,450,32.937822,93.20867,93.20867,0.360240962960203
"MRPL3","Mrpl3",29.978093,27.147842,40.474503,1786,389,711,32.5334793333333,36.38727,36.38727,0.896922383831003
"MRPL30","Mrpl30",67.677841,70.462756,61.355618,1031,251,370,66.4987383333333,0,0,67.4987383333333
"MRPL32","Mrpl32",18.866384,17.215082,22.744091,520,124,222,19.608519,27.81946,27.81946,0.715090393782534
"MRPL33","Mrpl33",43.759734,45.319277,42.813431,384,84,144,43.9641473333333,130.59171,130.59171,0.341694376745566
"MRPL34","Mrpl34",15.91402,13.394656,18.611488,262,54,126,15.973388,44.85135,44.85135,0.370182949902238
"MRPL35","Mrpl35",23.836879,21.091211,24.019015,1528,315,582,22.9823683333333,12.23973,12.23973,1.81139406417905
"MRPL36","Mrpl36",25.422333,20.911935,24.131453,708,146,271,23.4885736666667,65.86635,65.86635,0.366231649651382
"MRPL37","Mrpl37",26.990347,24.149644,25.250207,1235,253,489,25.4633993333333,30.20517,30.20517,0.84804535060483
"MRPL38","Mrpl38",56.891799,46.536471,47.610599,885,174,354,50.3462896666667,162.08309,162.08309,0.314847417145865
"MRPL39","Mrpl39",10.303514,11.771817,12.246706,843,219,391,11.440679,10.89129,10.89129,1.04620095885308
"MRPL4","Mrpl4",25.954961,31.390349,25.35881,864,180,309,27.56804,43.81409,43.81409,0.637478971457415
"MRPL40","Mrpl40",24.39999,25.133497,22.915346,703,169,250,24.149611,26.49176,26.49176,0.914805418059811
"MRPL41","Mrpl41",66.176326,97.652296,59.100347,1271,342,421,74.3096563333333,99.05884,99.05884,0.752653701895138
"MRPL42","Mrpl42",71.230876,71.381185,66.310032,1321,298,471,69.6406976666667,16.26432,16.26432,4.09171619077187
"MRPL43","Mrpl43",18.79691,20.713868,17.938176,958,228,359,19.1496513333333,95.88481,95.88481,0.207975340338009
"MRPL44","Mrpl44",14.198086,12.278739,14.577062,750,159,305,13.684629,12.03228,12.03228,1.12678894253346
"MRPL45","Mrpl45",15.72403,22.748368,13.194502,1047,218,349,17.2223,11.55514,11.55514,1.45138166519848
"MRPL46","Mrpl46",16.425539,14.265772,17.996239,659,139,266,16.2291833333333,16.65848,16.65848,0.975688923017912
"MRPL47","Mrpl47",15.856531,13.654828,16.661485,543,139,219,15.390948,22.19748,22.19748,0.7065831288571
"MRPL48","Mrpl48",42.581022,47.467127,43.22846,1493,372,591,44.4255363333333,107.79262,107.79262,0.417542442983112
