"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"SKAP1","Skap1",0.207484,0.469831,0.453556,11,5,8,0.376957,9.97305,9.97305,0.125485348193984
"SKAP2","Skap2",28.140515,26.581239,33.357054,995,251,391,29.3596026666667,13.23468,13.23468,2.13279137055885
"SKI","Ski",13.191385,12.473156,12.49214,2742,624,1059,12.7188936666667,11.46796,11.46796,1.10033186396705
"SKIDA1","Skida1",3.082693,3.705625,3.325226,338,84,109,3.37118133333333,1.12902,1.12902,2.05314244738581
"SKIL","Skil",2.341877,2.954065,2.615646,560,180,251,2.637196,2.84347,2.84347,0.94633130998811
"SKOR1","Skor1",0.089367,0,0.066402,12,0,4,0.051923,0.3868,0.3868,0.758525382174791
"SKOR2","Skor2",4.068683,4.707867,3.855556,403,108,187,4.210702,2.90619,2.90619,1.3339602016287
"SKP2","Skp2",0.596566,0.606084,0.500595,92,20,40,0.567748333333333,2.12215,2.12215,0.50213741599005
"SLA","Sla",0.290838,0.543365,0.489779,32,14,16,0.441327333333333,16.69493,16.69493,0.0814542545991046
"SLA2","Sla2",0.009283,0.076538,0.0238,1,2,1,0.0365403333333333,1.19175,1.19175,0.472928177635831
"SLAIN1","Slain1",2.520825,2.741405,2.071054,206,37,63,2.444428,1.76671,1.76671,1.24495447661663
"SLAIN2","Slain2",10.498359,8.181368,11.524013,1564,366,656,10.0679133333333,13.1615,13.1615,0.781549506290529
"SLAMF1","Slamf1",0.054779,0,0,9,0,0,0.0182596666666667,0.22999,0.22999,0.827860118103941
"SLAMF6","Slamf6",0.030813,0.016864,0.042218,7,1,4,0.029965,0.21953,0.21953,0.844558969439046
"SLAMF7","Slamf7",0.060521,0.139978,0.175463,10,2,8,0.125320666666667,0.37634,0.37634,0.817618224179103
"SLAMF8","Slamf8",0.062498,0,0.120506,4,0,3,0.0610013333333333,5.16424,5.16424,0.172122002604268
"SLAMF9","Slamf9",0.668772,0.776,0.481616,32,9,9,0.642129333333333,0.06272,0.06272,1.54521354009836
"SLBP","Slbp",14.286858,15.903255,18.930552,757,199,314,16.373555,40.38353,40.38353,0.419818101549094
