"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","FoldChange"
"ACAD11",1114,1.90902,1115,2.05088,1118,2.01421,1.99137,21.296656,12.759557,10.656436,14.9042163333333,568,268,245,0.188086601521538
"ACAD8",819,11.575,885,13.4252,746,11.0844,12.0282,29.394922,40.292933,40.865493,36.851116,722,686,705,0.34419592806722
"ACAD9",1039,4.97676,1126,5.78908,1091,5.49407,5.41997,20.618117,20.88167,21.133159,20.8776486666667,574,471,475,0.293448811516094
"ACADL",894,4.07549,1008,4.93223,2279,10.9226,6.64344,0.63777,0.16945,0.095375,0.300865,23,5,4,5.87565965722808
"ACADM",1245,3.43988,1406,4.16965,1536,4.46173,4.02375333333,31.38729,31.831206,37.816546,33.6783473333333,662,516,582,0.144867149666648
"ACADS",317,3.89038,354,4.66312,259,3.34173,3.96507666667,3.919399,3.709052,4.464577,4.03100933333333,114,83,88,0.986894743719418
"ACADSB",866,3.0667,1330,5.05528,1095,4.07667,4.06621666667,7.753468,4.374615,3.829584,5.31922233333333,527,304,282,0.801715211054715
"ACADVL",7556,162.126,6596,151.908,4694,105.887,139.973666667,417.243124,362.292121,441.590667,407.041970666667,2854,1977,2042,0.345488152693397
"ACAN",7,0.0170047,96,0.250313,28,0.0715101,0.1129426,0.61022,0.60714,1.230414,0.815924666666667,58,65,66,0.612879278765969
"ACAP1",124,1.44911,135,1.69337,286,3.51385,2.21877666667,11.702953,8.178989,5.156753,8.34623166666667,76,54,37,0.344392989759688
"ACAP2",1382,1.43455,1840,2.05005,1856,2.02545,1.83668333333,18.902318,8.651381,7.061189,11.538296,805,452,432,0.22624153500045
"ACAP3",1458,14.7916,1582,17.2268,1149,12.2551,14.7578333333,213.831943,213.096372,204.054479,210.327598,2582,2252,2362,0.0745659037552682
"ACAT1",1814,10.2528,2004,12.1575,1738,10.3275,10.9126,113.018886,107.505607,145.26679,121.930427666667,828,668,739,0.0969052188795905
"ACAT2",4118,42.1497,3190,35.046,2391,25.7292,34.3083,94.414141,82.903806,86.300184,87.8727103333333,2278,1511,1430,0.397290685381033
"ACBD3",1022,4.24464,1115,4.97056,1412,6.16543,5.12687666667,43.967242,69.083492,58.658097,57.236277,939,748,717,0.105207217602011
"ACBD4",398,6.0033,374,6.05507,392,6.21629,6.09155333333,5.340975,3.641431,4.100437,4.36094766666667,153,68,74,1.32281711635126
"ACBD5",1433,5.33589,1976,7.89747,1715,6.71371,6.64902333333,15.374346,21.627524,21.759596,19.5871553333333,885,847,801,0.371543479877728
"ACBD6",1053,0.788498,1177,0.945995,1134,0.892737,0.875743333333,30.045769,28.430908,40.527744,33.0014736666667,567,434,470,0.0551665304781153
"ACBD7",50,0.656665,111,1.56472,52,0.717985,0.97979,1.327791,0.639002,1.059258,1.00868366666667,81,30,45,0.985615621241838
"ACCS",561,5.35173,673,6.89107,851,8.53491,6.92590333333,14.477036,14.943544,19.448083,16.2895543333333,190,194,188,0.458421494303603
"ACCSL",0,0,0,0,1,0.0153093,0.0051031,0,0,0,0,0,0,0,1.0051031
"ACD",257,13.5889,202,11.4642,154,8.5607,11.2046,13.137008,9.048602,13.611827,11.932479,198,130,153,0.943716978005532
"ACE",115,0.942326,128,1.12578,299,2.5758,1.54796866667,6.841322,8.479831,10.149919,8.49035733333333,209,183,161,0.268479739716509
"ACE2",22,0.0934765,3,0.0136817,17,0.0759393,0.0610325,0,0.095415,0.225191,0.106868666666667,0,0,1,0.958589335801959
"ACER1",15,0.095391,7,0.0477809,21,0.140402,0.0945246333333,0,0,0,0,0,0,0,1.0945246333333
"ACER2",68,0.273112,56,0.241412,58,0.244905,0.253143,2.060095,1.631226,2.154176,1.948499,103,62,73,0.425010488387481
"ACER3",2305,2.4268,2576,2.91105,2484,2.74949,2.69578,7.649808,4.8069,3.760922,5.40587666666667,518,375,350,0.576935865660854
"ACHE",4545,113.738,4051,108.812,2350,61.8271,94.7923666667,52.081818,67.700639,62.028934,60.603797,1662,1679,1380,1.55497503939084
