"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"ACAT2",150.038137,113.788996,97.188096,120.338409666667,2596,2136,1199,"Acat3",0.106014,0.029888,0,4,2,0,0.0453006666666667,116.079912254911
"ACBD3",55.57853,50.960754,31.733687,46.0909903333333,687,749,476,"Acbd3",2.402008,2.812018,2.585089,261,286,201,2.599705,13.081902637392
"ACBD4",2.513592,3.070246,3.546908,3.043582,36,57,47,"Acbd4",7.598094,6.460876,8.388294,99,80,69,7.48242133333333,0.476701385264836
"ACBD5",22.086031,24.008406,24.78825,23.6275623333333,786,939,654,"Acbd5",2.76439,3.148991,3.874531,318,223,239,3.26263733333333,5.77754108723926
"ACBD6",44.648742,40.179244,47.697377,44.175121,561,617,466,"Acbd6",7.456026,9.740249,9.378408,138,215,119,8.85822766666667,4.5824789736546
"ACBD7",1.043718,2.012931,2.647439,1.90136266666667,46,68,57,"Acbd7",0.204416,0.219119,0.143098,2,2,1,0.188877666666667,2.44042154042762
"ACCS",2.852259,6.929111,6.720408,5.50059266666667,40,71,38,"Accs",0.560678,1.577455,1.883585,37,56,40,1.34057266666667,2.77735135475392
"ACCSL",0,0.041683,0,0.0138943333333333,0,1,0,"Accsl",0,0,0,0,0,0,0,1.01389433333333
"ACD",10.823814,17.900748,15.750557,14.8250396666667,143,186,143,"Acd",1.489058,1.256628,1.749415,61,49,54,1.498367,6.3341533356255
"ACE",7.650195,4.932748,4.196313,5.59308533333333,104,116,46,"Ace",5.44445,6.520775,5.744452,634,788,585,5.90322566666667,0.955073128373755
"ACE2",0.257103,0.077158,0.190801,0.175020666666667,1,1,1,"Ace2",0.168836,0.249512,0.378854,15,17,20,0.265734,0.928331439833857
"ACER1",0.061841,0,0.249022,0.103621,1,0,3,"Acer1",0.013295,0,0,1,0,0,0.00443166666666667,1.09875169872183
"ACER2",1.702671,1.924675,1.809561,1.81230233333333,61,75,46,"Acer2",2.221571,2.142382,1.847638,289,254,156,2.07053033333333,0.915901172772434
"ACER3",5.618697,5.605735,6.031901,5.752111,410,489,347,"Acer3",0.926464,1.225774,1.221333,111,103,103,1.12452366666667,3.17817641005333
"ACHE",123.812487,148.175891,116.216143,129.401507,2791,3847,1730,"Ache",0.171761,0.250681,0.356746,15,19,19,0.259729333333333,103.515496185953
