"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"ACBD5",22.086031,24.008406,24.78825,23.6275623333333,786,939,654,"Acbd5",39.799716,34.501608,29.768931,1629,2629,472,34.690085,0.690039329783982
"ACBD6",44.648742,40.179244,47.697377,44.175121,561,617,466,"Acbd6",35.28567,29.491404,43.187113,614,762,206,35.9880623333333,1.22134326996872
"ACBD7",1.043718,2.012931,2.647439,1.90136266666667,46,68,57,"Acbd7",0.916559,0.914463,0.98258,6,9,2,0.937867333333333,1.49719365033933
"ACCS",2.852259,6.929111,6.720408,5.50059266666667,40,71,38,"Accs",3.86236,2.573998,5.720381,126,178,54,4.05224633333333,1.28667373634922
"ACCSL",0,0.041683,0,0.0138943333333333,0,1,0,"Accsl",0.100077,0.118829,0.067827,4,3,1,0.0955776666666667,0.925442681227833
"ACD",10.823814,17.900748,15.750557,14.8250396666667,143,186,143,"Acd",11.708988,8.977386,15.558951,321,353,126,12.081775,1.20970125741091
"ACE",7.650195,4.932748,4.196313,5.59308533333333,104,116,46,"Ace",6.85104,5.450423,6.464917,583,638,164,6.25546,0.908706730287719
"ACE2",0.257103,0.077158,0.190801,0.175020666666667,1,1,1,"Ace2",0.703129,0.439627,0.086061,42,48,2,0.409605666666667,0.833581117366866
"ACER1",0.061841,0,0.249022,0.103621,1,0,3,"Acer1",0.021691,0.013217,0,1,1,0,0.011636,1.09092697373364
"ACER2",1.702671,1.924675,1.809561,1.81230233333333,61,75,46,"Acer2",3.578901,3.612412,3.507171,293,419,95,3.56616133333333,0.615900781429536
"ACER3",5.618697,5.605735,6.031901,5.752111,410,489,347,"Acer3",5.33321,5.297838,3.312498,588,759,160,4.64784866666667,1.19551910798365
"ACHE",123.812487,148.175891,116.216143,129.401507,2791,3847,1730,"Ache",133.05904,101.056948,116.214608,3230,4242,1133,116.776865333333,1.10719118420189
"ACIN1",89.895784,89.267185,92.097629,90.4201993333333,1572,1683,1229,"Acin1",66.142631,56.196921,48.187616,1860,2205,484,56.8423893333333,1.58050523823451
"ACKR1",9.846748,12.019005,14.314649,12.060134,231,292,219,"Ackr1",114.430787,96.035182,148.031874,588,717,265,119.499281,0.108383501475
"ACKR2",0.432002,0.122803,0.473199,0.342668,14,5,6,"Ackr2",0.032776,0.296782,0.051631,2,4,1,0.127063,1.19129809070123
"ACKR3",0,0.074184,0.633304,0.235829333333333,0,2,7,"Ackr3",1.888017,2.183048,2.652716,122,214,54,2.24126033333333,0.381280491611236
"ACKR4",0.106321,0,0,0.0354403333333333,3,0,0,"Ackr4",0.090908,0.281831,0.055977,4,16,1,0.142905333333333,0.905972089843545
"ACLY",254.093676,248.408509,244.338036,248.946740333333,6921,7108,4396,"Acly",104.42968,115.808562,122.784102,7508,12430,2500,114.340781333333,2.16702832635571
"ACMSD",0.255707,0.275251,0.059046,0.196668,1,2,1,"Acmsd",0.250152,0.082175,0.159311,10,6,2,0.163879333333333,1.02817187806983
"ACO1",9.414829,8.829655,9.906688,9.383724,628,626,488,"Aco1",9.548868,11.643803,10.725997,688,969,232,10.639556,0.892106537397131
"ACO2",76.722101,90.811985,92.660824,86.7316366666667,1805,2351,1468,"Aco2",275.677282,225.355992,267.756615,9127,11839,3130,256.263296333333,0.341018862453639
"ACOD1",0,0,0,0,0,0,0,"Acod1",0.108795,0.012087,0,6,1,0,0.040294,0.961266718831407
"ACOT1",2.580575,3.185492,1.979403,2.58182333333333,39,58,23,"Acot3",0.234426,0.160951,0.355095,14,12,8,0.250157333333333,2.8650980463259
"ACOT1",2.580575,3.185492,1.979403,2.58182333333333,39,58,23,"Acot2",1.850343,1.867143,1.207003,80,121,16,1.64149633333333,1.35598270121897
