"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"CSMD3",332,0.0477755,445,0.0687334,365,0.0552203,0.0572430666667,23.00655,23.00655,0.0440397752557823
"CSN1S1",0,0,0,0,1,0.0118441,0.00394803333333,3.40223,3.40223,0.228054425446496
"CSNK1A1",6318,18.8707,6975,22.3611,7436,23.35,21.5272666667,34.54094,34.54094,0.633839922824213
"CSNK1D",4579,23.0473,4226,22.8307,4186,22.1506,22.6762,86.54942,86.54942,0.270432402636134
"CSNK1E",2111,13.4624,1979,13.5463,1727,11.5789,12.8625333333,192.03931,192.03931,0.0718119710089101
"CSNK1G1",548,0.502154,553,0.543903,630,0.606925,0.550994,1.80484,1.80484,0.55297057942699
"CSNK1G2",1222,5.31487,1095,5.11182,1263,5.77514,5.40061,63.89555,63.89555,0.0986294129566665
"CSNK1G3",1114,1.85441,1233,2.20305,1122,1.96359,2.00701666667,7.21937,7.21937,0.365845151960552
"CSNK2A1",2470,6.04876,2515,6.61071,2785,7.17023,6.6099,22.30121,22.30121,0.326588190055366
"CSNK2A2",1060,4.60649,1114,5.19625,1172,5.35464,5.05246,17.0319,17.0319,0.335652926203007
"CSNK2B",926,31.6702,1029,37.7742,955,34.3385,34.5943,114.16143,114.16143,0.30908178198204
"CSPG4",784,3.55502,1181,5.74799,1039,4.95312,4.75204333333,10.47638,10.47638,0.501207116994209
"CSPG5",1013,9.5376,1007,10.1765,653,6.4637,8.72593333333,66.82064,66.82064,0.143406687600264
"CSPP1",750,0.978977,825,1.15586,816,1.1198,1.084879,7.0534,7.0534,0.258881838726501
"CSRNP1",827,11.3689,518,7.64335,388,5.60768,8.20664333333,13.06954,13.06954,0.654367046351906
"CSRNP2",1210,9.41166,1288,10.7532,1279,10.459,10.2079533333,12.61315,12.61315,0.823318139688463
"CSRNP3",360,0.286182,658,0.561444,360,0.300871,0.382832333333,15.18557,15.18557,0.085436122010717
"CSRP1",7592,51.1558,9632,69.6619,9164,64.9175,61.9117333333,660.77954,660.77954,0.0950644882936393
"CSRP2",241,2.07248,215,1.98451,277,2.50433,2.18710666667,20.12295,20.12295,0.150883596593752
"CSRP3",2,0.0122415,2,0.0131394,3,0.0193048,0.0148952333333,3.1118,3.1118,0.246825048235152
"CST3",7029,104.347,7881,125.577,6469,100.963,110.295666667,1324.7331,1324.7331,0.0839502812949303
"CST6",1,0.116622,3,0.375526,0,0,0.164049333333,3.40223,3.40223,0.26442265245864
"CST7",31,0.508037,18,0.316626,60,1.03377,0.619477666667,1.88782,1.88782,0.560795917566538
"CSTB",1366,60.6452,1292,61.5671,1299,60.6308,60.9477,43.50291,43.50291,1.39199211916704
"CSTF1",302,3.77066,379,5.07914,410,5.38186,4.74388666667,4.35651,4.35651,1.07231885437906
"CSTF2",261,2.21622,281,2.56105,251,2.2407,2.33932333333,5.3108,5.3108,0.529144218376434
"CSTF2T",566,24.0583,603,27.511,818,36.5544,29.3745666667,12.67538,12.67538,2.22111317321347
"CSTF3",2287,4.69028,2151,4.73493,2268,4.89005,4.77175333333,29.79026,29.79026,0.187453867987149
"CSTL1",1,0.0333014,0,0,0,0,0.0111004666667,1.53515,1.53515,0.398832600306372
"CTAGE1",12,0.485612,17,0.738411,26,1.10617,0.776731,0.06224,0.06224,1.67262671336045
"CTAGE4",111,7.49289,47,3.40537,36,2.55486,4.48437333333,0,0,5.48437333333
"CTAGE8",109,7.35788,44,3.18801,35,2.48389,4.34326,0,0,5.34326
"CTAGE9",98,6.64358,32,2.32845,25,1.78178,3.58460333333,0,0,4.58460333333
"CTBP1",2527,11.4648,2367,11.5266,2371,11.3092,11.4335333333,241.97327,241.97327,0.0511724328083497
"CTBP2",2000,1.97563,2036,2.15871,2091,2.17154,2.10196,31.94777,31.94777,0.0941477981666134
"CTBS",393,2.76062,446,3.36272,782,5.7751,3.96614666667,3.65117,3.65117,1.06771987836824
"CTC1",594,4.46482,679,5.47807,618,4.88364,4.94217666667,20.37189,20.37189,0.278037022774776
"CTCF",872,1.98586,959,2.34419,980,2.34637,2.22547333333,14.83289,14.83289,0.203719809417611
"CTCFL",0,0,1,0.00631633,3,0.0185602,0.00829217666667,0,0,1.00829217666667
"CTDNEP1",1093,21.4522,1166,24.5635,1194,24.6374,23.5510333333,99.63971,99.63971,0.243949762308536
"CTDP1",443,1.0074,422,1.03004,545,1.30297,1.11347,12.03228,12.03228,0.162171930007643
"CTDSP1",1129,25.6616,1274,31.0814,1477,35.2946,30.6792,67.00734,67.00734,0.465820307043328
"CTDSP2",3213,20.942,3443,24.0871,4100,28.095,24.3747,51.24091,51.24091,0.485724693539986
"CTDSPL",2257,3.21638,2127,3.25344,2201,3.29757,3.25579666667,6.03688,6.03688,0.604784601509476
"CTDSPL2",581,1.00082,773,1.42922,970,1.75667,1.39557,7.34384,7.34384,0.287106416230417
"CTF1",50,1.2561,72,1.94146,75,1.98087,1.72614333333,3.23627,3.23627,0.64352445272138
"CTH",153,0.933469,147,0.962645,158,1.01345,0.969854666667,2.73838,2.73838,0.526927349993045
"CTHRC1",47,0.71698,47,0.769569,161,2.5821,1.35621633333,2.34422,2.34422,0.704563794645687
"CTIF",4929,2.65616,4649,2.68903,3482,1.9727,2.43929666667,125.28091,125.28091,0.027235285734558
"CTLA4",5,0.141,2,0.0605368,18,0.533654,0.2450636,0.72609,0.72609,0.721320209259077
"CTNNA1",8664,4.6706,10678,6.17852,10488,5.94409,5.59773666667,860.84728,860.84728,0.00765534314463463
"CTNNA2",468,0.0558605,490,0.0627763,419,0.0525789,0.0570719,234.46347,234.46347,0.00448932439499002
"CTNNA3",975,0.0954949,1112,0.116902,1040,0.107089,0.1064953,74.22671,74.22671,0.0147088088791867
"CTNNAL1",2240,5.51521,2825,7.46574,4046,10.4732,7.81805,6.92893,6.92893,1.11213618987682
"CTNNB1",4770,12.7504,4889,14.027,6544,18.3902,15.0558666667,123.87023,123.87023,0.128580420382825
"CTNNBIP1",661,1.86069,731,2.20866,641,1.897,1.98878333333,38.52404,38.52404,0.0756193783158301
"CTNNBL1",778,0.762822,780,0.820878,793,0.817439,0.800379666667,35.72342,35.72342,0.0490253812598881
"CTNND1",5111,13.4666,5750,16.2614,6735,18.6563,16.1281,27.96467,27.96467,0.591344558733105
"CTNND2",2673,0.500713,2885,0.580065,2202,0.433656,0.504811333333,589.54015,589.54015,0.00254819478969042
"CTNS",867,6.04044,940,7.02939,1030,7.54441,6.87141333333,13.06954,13.06954,0.559464867602637
"CTPS1",625,3.32097,602,3.43338,784,4.37965,3.71133333333,10.37265,10.37265,0.414268735372143
"CTPS2",633,0.885115,806,1.20968,754,1.10842,1.06773833333,4.50173,4.50173,0.375834207300249
"CTR9",13668,47.3955,14498,53.9611,13309,48.5195,49.9587,10.18595,10.18595,4.55559876452156
"CTRB1",16,0.380246,24,0.612204,3,0.0749555,0.355801833333,0.72609,0.72609,0.785475747691603
"CTRB2",11,0.628208,8,0.49039,3,0.180124,0.432907333333,0,0,1.432907333333
"CTRC",1,0.0161743,1,0.0173607,5,0.0850227,0.0395192333333,0.31118,0.31118,0.792811996318812
"CTRL",306,11.3115,302,11.9824,364,14.1461,12.48,18.52556,18.52556,0.690377126187418
"CTSA",2337,47.0522,2122,45.8571,2725,57.68,50.1964333333,74.7246,74.7246,0.676087207239127
"CTSB",24430,158.511,19529,136.005,34865,237.828,177.448,232.90757,232.90757,0.762899635954493
"CTSC",1216,4.80946,1127,4.7844,3535,14.6991,8.09765333333,13.60892,13.60892,0.622746468139329
"CTSD",18936,279.897,19217,304.885,12160,188.965,257.915666667,441.46014,441.46014,0.585172862502371
"CTSE",2,0.023879,1,0.0128153,0,0,0.0122314333333,0.2282,0.2282,0.824158470390246
"CTSF",1403,45.5751,1720,59.9706,796,27.1845,44.2434,124.92824,124.92824,0.35927922124537
"CTSG",1,0.0639221,4,0.274443,12,0.806437,0.3816007,0.33192,0.33192,1.03730006306685
"CTSH",954,5.84434,773,5.08284,1546,9.95713,6.96143666667,99.49449,99.49449,0.079222618739296
"CTSK",406,5.88466,554,8.61878,617,9.40197,7.96847,4.83366,4.83366,1.53736590750918
"CTSO",669,3.92866,962,6.06364,1298,8.01366,6.00198666667,13.33923,13.33923,0.488309809290317
"CTSS",1503,7.3746,1002,5.27701,3525,18.1835,10.27837,17.82022,17.82022,0.59926876518978
"CTSW",21,0.939483,4,0.192075,28,1.31694,0.816166,0.91279,0.91279,0.949485306803151
"CTSZ",2335,33.7964,2258,35.079,3864,58.7975,42.5576333333,45.20403,45.20403,0.942723683048859
"CTTN",3582,16.3896,3449,16.9386,3526,16.9615,16.7632333333,216.91294,216.91294,0.0815152754733152
"CTTNBP2",673,0.719146,656,0.752396,920,1.03354,0.835027333333,24.33425,24.33425,0.0724326685547431
"CTTNBP2NL",1207,3.13582,1340,3.7367,1693,4.62422,3.83224666667,5.62198,5.62198,0.729728369259648
"CTU1",79,1.27742,60,1.04135,31,0.526994,0.948588,4.41875,4.41875,0.359601014994233
"CTU2",223,4.37042,227,4.77512,170,3.50272,4.21608666667,34.83137,34.83137,0.145573185358807
"CTXN1",78,8.2836,91,10.3731,57,6.36411,8.34027,372.21231,372.21231,0.025026693251356
"CTXN2",206,1.40375,353,2.58189,132,0.945661,1.643767,0.33192,0.33192,1.98492927503153
"CTXN3",8,0.14578,17,0.332504,13,0.249052,0.242445333333,3.19478,3.19478,0.296188437375262
