"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"EHD3",5110,25.2893,4062,21.5773,2765,14.3863,20.4176333333,26.95262,21.60922,46.79928,31.78704,0.653234733397708
"EHD4",999,2.27764,951,2.32724,1158,2.77566,2.46018,2.48488,2.84623,3.16802,2.83304333333333,0.902723945202811
"EHF",8,0.0349704,11,0.0516112,7,0.0321697,0.0395837666667,0.48041,1.38166,0.96133,0.941133333333333,0.535555053748686
"EHHADH",284,0.543025,280,0.574645,316,0.635223,0.584297666667,3.03155,3.84102,7.99652,4.95636333333333,0.265984054028549
"EHMT1",1181,0.821909,1302,0.972579,1389,1.01628,0.936922666667,36.04727,34.37579,27.24496,32.5560066666667,0.0577220849282721
"EHMT2",727,7.08384,901,9.42323,761,7.79574,8.10093666667,136.90011,108.62639,94.16662,113.23104,0.079671310588348
"EI24",1347,15.2755,1433,17.4428,1420,16.9299,16.5494,62.68514,74.8309,67.05275,68.1895966666667,0.253642178094308
"EID1",3720,318.569,4903,450.674,5323,479.242,416.161666667,243.53443,221.0938,218.94285,227.857026666667,1.82280471237006
"EID2",411,49.348,415,53.483,322,40.6464,47.8258,14.26319,10.94278,15.88379,13.6965866666667,3.32225441916672
"EID2B",126,11.7964,138,13.8675,133,13.0909,12.9182666667,14.47855,9.14661,17.63166,13.7522733333333,0.943465888423524
"EID3",19,2.26263,24,3.06769,22,2.75436,2.69489333333,2.21982,2.21066,1.33275,1.92107666666667,1.26490803048533
"EIF1",7546,348.382,7997,396.284,7111,345.15,363.272,856.58653,779.56221,534.30271,723.483816666667,0.502802121482861
"EIF1AD",459,14.2377,465,15.4818,427,13.925,14.5481666667,21.88348,17.07736,11.36117,16.7740033333333,0.874770099628652
"EIF1AX",1954,19.716,2850,30.8659,2761,29.2885,26.6234666667,34.83796,36.64172,34.76081,35.4134966666667,0.75860516553981
"EIF1B",2169,139.412,2136,147.361,2298,155.285,147.352666667,102.45973,89.89103,116.03687,102.795876666667,1.42927321808191
"EIF2A",1656,7.35407,1872,8.92305,2168,10.122,8.79970666667,106.05452,95.83218,77.53999,93.14223,0.10409469444977
"EIF2AK1",2107,9.96753,2289,11.6228,2443,12.1502,11.2468433333,97.68877,66.09878,126.43671,96.74142,0.125298397888019
"EIF2AK2",2362,7.13218,2723,8.82532,3812,12.1013,9.35293333333,11.3476,10.30721,10.2469,10.6339033333333,0.889893360525602
