"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg__TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","FoldChange"
"ZDHHC4",31.010335,33.967604,37.238216,34.0720516666667,294,385,244,37.706544,38.020498,40.266939,38.6646603333333,490,608,691,0.884214093148123
"ZDHHC4P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZDHHC5",26.533527,32.164364,27.280185,28.6593586666667,831,1028,756,20.693606,24.803286,20.617237,22.038043,863,1338,1148,1.28740790468473
"ZDHHC6",32.389744,30.657009,38.70588,33.9175443333333,346,316,257,28.033292,27.30901,26.717182,27.3531613333333,344,538,451,1.23152208400418
"ZDHHC7",23.001968,27.402523,32.425101,27.609864,477,532,404,23.702153,24.035418,13.735682,20.4910843333333,518,668,568,1.33124339173642
"ZDHHC8",23.345443,26.230129,23.774889,24.4501536666667,346,458,309,22.297148,20.41544,16.33806,19.6835493333333,400,530,560,1.2304538866379
"ZDHHC9",28.862499,32.860554,39.65271,33.791921,1075,1192,812,31.128472,23.287722,24.296249,26.237481,1203,1310,1454,1.27735457621797
"ZEB1",15.569119,14.807731,15.310242,15.2290306666667,828,828,681,12.889211,9.282807,9.896941,10.689653,908,942,1020,1.38832441533266
"ZEB1.AS1",5.142542,8.073795,6.930492,6.71560966666667,78,113,99,3.094915,4.990432,5.904435,4.66326066666667,90,115,154,1.36239705724299
"ZEB2",3.066117,3.0394,3.302661,3.13605933333333,176,193,128,17.170395,14.972555,8.946861,13.6966036666667,1027,1242,869,0.281429602862212
"ZEB2.AS1",0.554615,0,0.236138,0.263584333333333,3,0,2,0.870683,1.487777,1.65631,1.33825666666667,10,12,14,0.540395907492334
"ZEB2P1",0.112862,0,0.160688,0.0911833333333333,1,0,1,0.09332,0.086616,0.064019,0.0813183333333333,1,1,1,1.00912312285466
"ZER1",22.429004,25.929578,24.256763,24.205115,901,1054,691,30.422092,26.566985,22.282365,26.423814,1210,1452,1528,0.91909589964401
"ZFAND1",20.237467,24.592503,28.976993,24.602321,245,367,267,22.843532,28.024166,25.37581,25.4145026666667,402,587,637,0.969252433902851
"ZFAND2A",30.175761,36.9023,30.634025,32.5706953333333,174,244,137,27.711077,22.950214,21.353841,24.005044,197,223,224,1.34255693904531
"ZFAND2A.DT",6.641667,4.292728,4.112273,5.015556,91,100,76,7.009719,4.046454,3.408325,4.82149933333333,125,137,125,1.03333448233095
"ZFAND2B",11.853415,18.263046,24.469517,18.195326,125,169,129,16.171449,16.70885,17.825793,16.9020306666667,176,241,233,1.07224294033533
"ZFAND3",60.05238,78.730148,85.270759,74.684429,937,1230,939,64.780836,61.480299,53.836306,60.0324803333333,1178,1473,1424,1.2400680520707
"ZFAND4",6.810898,10.057636,8.950536,8.60635666666667,131,155,116,7.654173,6.789703,8.219273,7.554383,183,215,240,1.12297481497691
"ZFAND5",148.054505,134.279204,166.365455,149.566388,2897,2723,2042,145.213491,141.674372,125.038171,137.308678,3422,4823,4605,1.0886257476917
"ZFAND6",37.391195,40.032416,55.445775,44.2897953333333,572,621,595,56.828394,52.557901,54.383659,54.5899846666667,965,1299,1353,0.814711419780088
"ZFAS1",75.239748,82.838875,77.295748,78.4581236666667,372,453,270,71.65301,83.445779,92.791904,82.630231,423,684,813,0.950112449966409
"ZFAT",3.738623,4.936848,5.806016,4.82716233333333,66,99,44,2.97046,5.285975,3.341463,3.865966,101,161,123,1.19753453545161
"ZFAT.AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZFC3H1",35.226109,30.231721,38.622538,34.693456,610,583,466,32.827929,28.696492,28.432421,29.985614,654,766,704,1.15193637925006
"ZFHX2",3.189775,2.986972,7.184837,4.45386133333333,109,146,148,6.258889,10.279305,12.115282,9.55115866666667,395,923,933,0.516896912048459
"ZFHX3",11.067872,7.801787,12.698115,10.5225913333333,2059,1630,1734,5.61315,9.942841,6.847207,7.46773266666667,1306,3179,2216,1.36076465648144
"ZFHX4",0.262793,0.610895,0.456657,0.443448333333333,51,73,63,2.67093,4.248445,2.744371,3.22124866666667,411,1107,524,0.341948188158543
"ZFHX4.AS1",0.157646,0.182014,0.432357,0.257339,3,6,3,0.565998,3.932317,2.487353,2.328556,22,51,27,0.37774308138424
"ZFP1",6.661019,12.392154,7.578901,8.877358,222,288,215,5.889969,6.780539,6.382531,6.351013,248,385,366,1.34367304206917
"ZFP14",3.405793,3.541345,4.827117,3.92475166666667,346,337,283,4.43892,3.827818,3.419049,3.89526233333333,438,606,520,1.00602405577583
"ZFP2",2.677846,3.250466,3.706504,3.21160533333333,53,67,40,2.225679,2.220716,1.726899,2.05776466666667,76,99,91,1.37734776624406
"ZFP28",11.276686,12.585657,10.98632,11.616221,334,348,227,10.918234,12.472145,11.400714,11.597031,432,473,444,1.00152337483332
"ZFP3",0.208119,0.535877,0.481863,0.408619666666667,14,39,23,0.332755,0.227459,0.188348,0.249520666666667,27,25,22,1.12732802605372
"ZFP30",10.004916,14.001792,14.720455,12.9090543333333,453,529,366,12.465854,13.858739,12.701045,13.008546,623,967,846,0.992897787774215
"ZFP36",0.945494,0.527816,0.947347,0.806885666666667,19,12,7,2.724363,3.71768,4.548393,3.66347866666667,64,116,150,0.387454472469621
"ZFP36L1",0.905021,1.978214,4.157594,2.346943,27,74,79,4.326069,0.095765,0.191304,1.53771266666667,155,6,13,1.31888178041696
"ZFP36L2",0.07322,0.128375,1.129846,0.443813666666667,3,6,32,1.474258,0.014172,0.121786,0.536738666666667,75,1,10,0.939531032819287
"ZFP37",4.87839,4.591802,5.129769,4.86665366666667,183,192,133,4.376607,5.167978,3.832795,4.45912666666667,196,334,256,1.07465058513633
"ZFP41",9.933189,8.54001,10.732667,9.73528866666667,231,294,204,9.318364,7.259778,6.926739,7.83496033333333,346,400,401,1.21509189194247
"ZFP42",0.343406,0.381863,0.460591,0.395286666666667,10,12,11,0.294851,0.183012,0.183285,0.220382666666667,10,9,10,1.14331898082241
"ZFP57",0,0.047329,0,0.0157763333333333,0,1,0,0,0,0,0,0,0,0,1.01577633333333
"ZFP62",11.401312,11.533342,7.588078,10.174244,289,281,206,10.258405,11.952919,9.865187,10.6921703333333,356,449,424,0.955703148468786
"ZFP64",7.601889,6.355493,8.711085,7.55615566666667,218,241,203,11.176669,9.302062,7.01006,9.16293033333333,330,395,386,0.841898486561832
"ZFP69",4.140297,4.125496,4.775847,4.34721333333333,102,106,78,4.385705,5.628875,4.179391,4.73132366666667,134,225,205,0.932980519741484
"ZFP69B",4.349015,5.611922,4.544479,4.83513866666667,115,163,84,4.071422,4.849679,3.721494,4.21419833333333,132,207,170,1.11908644313811
"ZFP82",4.017975,4.442575,4.835364,4.43197133333333,166,184,122,3.734624,3.803629,3.988606,3.84228633333333,211,247,261,1.1217782178515
"ZFP90",70.16202,50.927886,52.571819,57.8872416666667,1213,1306,925,34.05613,29.42331,19.530417,27.6699523333333,1227,1412,1378,2.0539706861738
"ZFP91",15.109512,15.33061,16.687273,15.7091316666667,1145,1264,896,15.649685,13.121951,12.075542,13.615726,1435,1640,1628,1.1432296737546
"ZFP91P1",0.079341,0.217757,0.111622,0.13624,1,3,1,0.19603,0.095776,0.089507,0.127104333333333,3,2,2,1.00810543123337
"ZFP92",0.28947,0.079219,0.125006,0.164565,23,7,7,0.687989,0.328434,0.444582,0.487001666666667,67,44,65,0.783163210980485
"ZFPL1",16.902529,24.883039,22.339304,21.3749573333333,124,161,98,21.480534,19.063959,25.654786,22.0664263333333,193,238,305,0.970022707895555
"ZFPM1",1.112779,1.294679,1.831657,1.41303833333333,32,49,27,0.940453,0.84362,2.039942,1.27467166666667,50,62,125,1.06082929184652
"ZFPM2",0.547231,0.613169,0.460489,0.540296333333333,16,16,9,0.731635,0.497776,0.575708,0.601706333333333,32,34,19,0.961659638398133
"ZFR",53.050793,52.08733,61.014639,55.384254,2064,2216,1724,48.26514,49.029517,43.114365,46.8030073333333,2231,3159,2845,1.17951269481497
"ZFR2",23.411182,28.262395,34.874403,28.8493266666667,252,257,211,30.803571,26.139136,28.597611,28.5134393333333,301,354,436,1.01138082652922
"ZFX",3.007292,6.525665,2.837782,4.12357966666667,170,172,166,4.105525,2.2805,2.100826,2.82895033333333,173,203,197,1.33811599018739
"ZFX.AS1",0.420237,0,0.591092,0.337109666666667,1,0,1,1.726823,0.253239,0.475908,0.818656666666667,5,1,2,0.735218302153421
"ZFY",2.038121,2.268869,2.755544,2.354178,112,121,111,1.641179,1.689835,1.886949,1.739321,117,148,113,1.2244559874509
"ZFY.AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
